County,Days_on_Market,Days_On_Market_Growth_YoY,Avg_Home_Value,Home_Value_Growth_YoY,Inventory_Surplus_Deficit,Population,Sale_Inventory_Growth_YoY,Sale_Inventory_Growth_MoM,Home_Sales_Growth_YoY,Price_Cut_Percentage,Population_Growth,Cap_Rate,Home_Price_Forecast,Vacancy_Rate,Median_Age,Housing_Unit_Growth_Rate
"Lamar, GA",65.0,57.5,278912.0,2.1,63.6,19098.0,32.7,1.2,77.7,22.0,3.1,,35.0,9.5,38.7,2.2
"Lamar, MS",65.0,66.6,264580.0,2.5,39.6,66217.0,25.2,1.9,,18.0,8.1,6.0,40.0,5.4,38.1,13.2
"Lamar, TX",62.0,4.2,196779.0,1.7,49.7,50421.0,38.0,,29.7,29.4,1.7,6.6,36.0,11.8,40.0,0.2
"Lamb, TX",80.0,15.9,103612.0,,72.3,12919.0,86.6,5.0,40.0,34.0,,,31.0,21.1,36.6,
"Lamoille, VT",,,,,,,19.6,19.0,,20.0,3.0,,53.0,19.1,41.2,4.3
"Lampasas, TX",82.0,23.7,309328.0,1.6,81.4,22267.0,13.5,,,32.4,7.8,2.7,30.0,16.8,43.9,5.3
"Lancaster, NE",37.0,7.2,293748.0,2.7,29.0,326716.0,29.8,4.3,3.4,10.7,2.9,4.2,43.0,3.5,34.8,7.2
"Lancaster, PA",23.0,,370278.0,3.6,,558589.0,33.0,15.1,11.3,14.5,2.7,3.4,58.0,3.9,39.1,3.7
"Lancaster, SC",45.0,39.5,382249.0,1.0,48.1,108215.0,75.1,2.6,9.7,34.2,13.4,3.7,39.0,6.0,42.6,17.1
"Lancaster, VA",61.0,32.6,377760.0,4.6,,10876.0,11.9,,38.0,18.5,0.6,,58.0,26.9,59.1,
"Lander, NV",,,,,,,37.5,12.8,,0.0,,,48.0,17.9,37.3,8.5
"Lane, KS",51.0,,106949.0,13.9,6.6,1497.0,,100.0,0.0,0.0,,,61.0,18.0,48.9,
"Lane, OR",,,,,,,35.8,19.1,11.5,35.7,0.4,4.1,36.0,5.6,40.4,5.0
"Langlade, WI",,,,,,,31.4,46.0,4.5,16.2,1.6,,63.0,29.4,49.0,
"Lanier, GA",52.0,48.5,206211.0,4.2,2.3,10094.0,14.8,,,17.3,,6.5,49.0,16.7,36.7,
"Lapeer, MI",43.0,34.3,295632.0,2.7,,88977.0,38.0,23.1,,24.1,1.0,4.3,52.0,7.7,44.3,1.5
"Laramie, WY",38.0,10.1,378822.0,3.1,20.3,100984.0,21.3,2.6,16.7,15.7,2.0,3.5,44.0,4.7,38.3,6.3
"Larimer, CO",39.0,19.0,566584.0,0.1,61.6,370771.0,57.8,18.4,15.3,30.9,5.7,3.9,34.0,6.5,37.3,10.2
"Larue, KY",35.0,,229030.0,10.5,59.1,15028.0,20.6,20.6,75.0,29.6,6.1,5.7,42.0,8.8,41.3,2.9
"Las Animas, CO",91.0,27.2,242197.0,0.1,71.2,14392.0,68.0,3.9,21.4,20.6,1.5,6.2,35.0,17.6,46.5,
"Lassen, CA",,,,,,,9.1,18.0,4.1,15.7,,6.2,48.0,25.9,37.8,
"Latah, ID",,,,,,,4.3,12.0,,30.3,2.7,2.6,42.0,7.8,30.7,3.8
"Latimer, OK",59.0,,133878.0,,27.2,9495.0,12.0,3.6,,12.9,,,40.0,17.7,41.5,
"Lauderdale, AL",54.0,13.6,217385.0,1.7,24.7,96814.0,28.6,3.9,27.6,26.6,4.7,6.3,44.0,8.6,41.3,
"Lauderdale, MS",58.0,,120045.0,2.3,,70527.0,,13.2,,13.9,,15.2,60.0,11.5,39.4,
"Lauderdale, TN",49.0,,124344.0,,20.4,24933.0,3.0,14.9,18.1,27.3,,,44.0,13.8,39.4,
"Laurel, KY",59.0,14.0,184428.0,8.4,16.1,62731.0,32.3,7.3,,25.3,4.2,,48.0,10.7,39.9,3.4
"Laurens, GA",65.0,15.0,180037.0,0.2,7.2,49619.0,23.7,10.1,,19.7,4.6,6.5,49.0,17.6,39.9,2.3
"Laurens, SC",53.0,20.4,183978.0,,81.4,68873.0,24.3,0.4,55.3,20.6,2.8,7.6,30.0,10.9,42.2,2.8
"Lavaca, TX",61.0,,285665.0,1.1,38.8,20479.0,14.5,,100.0,15.3,2.6,,40.0,20.2,43.1,0.6
"Lawrence, AL",71.0,71.9,224699.0,4.1,19.2,33182.0,13.0,8.3,,23.5,0.0,5.9,46.0,14.1,42.8,
"Lawrence, AR",57.0,48.0,124740.0,7.1,52.3,16265.0,15.3,7.1,,11.4,,,42.0,15.1,39.8,
"Lawrence, IL",63.0,,96439.0,4.5,22.5,15137.0,47.8,9.6,100.0,30.7,,,47.0,14.8,40.6,
"Lawrence, IN",53.0,11.1,198746.0,1.5,15.4,45077.0,22.7,4.9,,27.3,,,47.0,6.6,43.5,
"Lawrence, KY",33.0,,169814.0,9.2,,16171.0,,36.0,40.0,15.3,2.4,5.8,66.0,18.8,42.0,2.5
"Lawrence, MO",50.0,30.7,199372.0,5.3,58.4,38392.0,52.3,13.8,,20.4,0.6,5.3,43.0,9.7,39.0,
"Lawrence, MS",78.0,90.2,112145.0,,,11883.0,,,,0.0,,,52.0,25.0,40.7,
"Lawrence, OH",39.0,,132034.0,5.1,,57385.0,20.5,12.8,,21.0,,8.7,58.0,15.2,41.9,
"Lawrence, PA",65.0,,149764.0,2.8,,84472.0,77.5,8.1,5.5,19.5,,7.6,55.0,7.5,45.1,
"Lawrence, SD",,,,,,,12.2,11.6,,17.5,5.3,3.0,44.0,18.7,43.8,5.0
"Lawrence, TN",60.0,18.4,235999.0,3.1,88.4,44901.0,47.4,5.3,7.5,26.5,4.5,,30.0,10.6,39.0,2.6
"Le Flore, OK",73.0,,159960.0,3.2,47.2,48728.0,26.0,10.0,,26.9,,,42.0,16.1,38.8,
"Le Sueur, MN",,,,,,,15.9,11.1,11.1,17.6,3.4,2.5,51.0,11.3,41.4,2.6
"Lea, NM",61.0,25.7,192791.0,0.2,,72101.0,,,,8.6,3.5,6.7,58.0,13.3,33.5,7.0
"Leake, MS",55.0,,163164.0,5.5,,21288.0,75.0,,200.0,12.5,,,57.0,18.4,40.0,
"Leavenworth, KS",47.0,,335387.0,4.3,14.3,83518.0,9.1,20.5,,21.8,2.6,4.1,48.0,6.0,38.1,7.3
"Lebanon, PA",44.0,29.4,301242.0,4.9,22.3,144252.0,45.8,6.9,9.5,9.1,2.0,4.1,53.0,3.9,41.4,4.0
"Lee, AL",47.0,1.0,334070.0,3.0,22.1,183215.0,22.6,2.8,,21.4,11.7,5.9,45.0,8.6,33.8,16.3
"Lee, AR",80.0,,93987.0,,18.0,8511.0,100.0,0.0,,0.0,,,42.0,28.7,41.9,
"Lee, FL",,,,,,,36.0,,,27.7,10.5,6.2,26.0,27.8,49.1,13.0
"Lee, GA",71.0,93.2,257352.0,2.8,1.1,33337.0,5.9,,200.0,19.3,13.5,6.3,47.0,7.0,37.2,16.3
"Lee, IA",51.0,,116575.0,0.6,34.5,33175.0,67.1,2.8,42.1,16.8,,,42.0,9.5,43.7,
"Lee, IL",45.0,66.6,171194.0,5.6,,34058.0,40.3,5.6,,17.2,,6.1,60.0,10.7,43.0,
"Lee, KY",100.0,94.1,158318.0,16.0,57.2,7375.0,70.3,2.2,,12.5,9.2,,38.0,19.2,43.4,
"Lee, MS",59.0,7.7,195615.0,4.5,,82799.0,4.6,1.4,8.0,21.1,,9.1,51.0,15.0,38.4,2.0
"Lee, NC",49.0,,287209.0,1.7,62.5,67059.0,13.6,8.7,13.2,23.5,11.5,6.9,38.0,5.1,40.5,11.9
"Lee, SC",44.0,,122400.0,,38.1,16330.0,65.2,5.5,33.3,29.6,,,45.0,17.0,41.8,
"Lee, TX",73.0,73.8,352651.0,2.4,100.0,17758.0,48.8,0.0,,26.3,4.7,,31.0,15.1,41.4,2.5
"Lee, VA",75.0,2.0,100382.0,8.5,0.0,22042.0,82.7,10.4,,21.6,,,51.0,22.2,45.4,
"Leelanau, MI",,,,,,,12.3,45.9,,18.1,4.4,3.1,61.0,39.6,55.3,0.6
"Leflore, MS",82.0,43.8,76213.0,,,27432.0,32.5,1.7,,16.6,,,51.0,21.1,34.5,
"Lehigh, PA",,,,,,,5.3,16.5,16.7,21.1,2.6,5.1,58.0,3.0,39.8,3.6
"Lemhi, ID",,,,,,,58.9,11.7,,22.5,4.7,,42.0,27.7,53.1,
"Lenawee, MI",39.0,4.7,237158.0,,,97520.0,4.5,8.8,,21.7,,,53.0,8.6,43.5,0.1
"Lenoir, NC",54.0,2.8,139477.0,5.1,11.0,54917.0,9.3,4.2,4.7,29.4,,7.9,50.0,14.3,42.2,
"Leon, FL",43.0,21.1,292765.0,,,296913.0,,5.5,,21.8,1.5,5.9,47.0,10.7,32.6,6.6
"Leon, TX",72.0,,312570.0,1.3,27.2,16067.0,4.7,,,18.1,,,42.0,27.4,44.3,
"Leslie, KY",193.0,2.6,77332.0,15.4,,10261.0,,0.0,200.0,0.0,,,63.0,20.4,42.2,
"Letcher, KY",56.0,,88657.0,,,21146.0,,,25.0,28.5,,,57.0,21.0,43.3,
"Levy, FL",68.0,,290963.0,0.2,52.9,44276.0,27.5,2.6,,24.0,10.7,3.8,39.0,15.1,47.1,3.7
"Lewis and Clark, MT",,,,,,,18.2,17.0,,24.9,9.1,3.3,50.0,10.2,42.0,7.7
"Lewis, ID",,,,,,,,3.0,,34.7,,,50.0,15.1,48.9,
"Lewis, KY",61.0,27.3,113355.0,4.6,8.7,13028.0,27.2,0.0,,16.0,,,47.0,19.2,42.1,
"Lewis, MO",46.0,,174280.0,4.7,,9945.0,,,0.0,0.0,,4.6,55.0,25.4,38.2,
"Lewis, NY",,,,,,,,14.5,0.0,26.0,,,57.0,29.6,42.0,
"Lewis, TN",67.0,63.1,235584.0,1.1,56.7,12784.0,4.5,4.5,125.0,32.8,6.9,,37.0,10.3,42.2,4.1
"Lewis, WA",,,,,,,32.6,18.4,,28.1,8.2,3.2,35.0,9.1,42.6,4.8
"Lewis, WV",46.0,,126782.0,0.7,,16808.0,,,0.0,20.0,3.2,,57.0,15.2,43.2,3.1
"Lexington, SC",38.0,,269333.0,2.5,19.6,309528.0,21.8,7.1,,27.1,4.9,6.6,47.0,6.4,40.8,7.1
"Lexington, VA",37.0,94.6,341180.0,6.5,,7420.0,,,,,,,,,,
"Liberty, FL",74.0,,191076.0,,28.7,7650.0,86.6,,,20.0,,,41.0,20.4,39.1,
"Liberty, GA",50.0,35.1,245262.0,3.9,37.6,69210.0,53.3,7.8,,21.2,11.4,7.5,44.0,12.5,28.4,0.7
"Liberty, MT",,,,,,,28.5,0.0,0.0,0.0,,,44.0,17.6,37.5,
"Liberty, TX",58.0,,235357.0,,73.2,108272.0,11.5,2.4,1.8,29.3,25.4,5.6,30.0,12.1,32.8,18.2
"Licking, OH",40.0,32.2,332398.0,2.0,44.7,183201.0,24.6,14.1,10.4,30.4,4.2,3.8,40.0,6.7,40.0,3.5
"Limestone, AL",58.0,13.7,320411.0,0.5,97.6,114654.0,54.2,5.5,4.8,21.6,19.2,4.1,30.0,3.9,40.6,23.9
"Limestone, TX",43.0,,166691.0,3.6,61.4,22185.0,50.2,10.8,,24.4,,,40.0,20.2,42.0,
"Lincoln, AR",64.0,,119551.0,2.0,138.2,12966.0,47.3,,25.0,22.8,,,30.0,20.0,40.1,
"Lincoln, CO",25.0,,247950.0,2.0,80.8,5561.0,43.4,83.3,25.0,9.5,0.2,,43.0,17.4,40.7,16.5
"Lincoln, GA",70.0,70.5,222375.0,3.5,35.9,7773.0,79.4,11.1,,27.2,,4.6,47.0,33.6,48.3,
"Lincoln, ID",42.0,,321538.0,7.0,7.9,5276.0,,54.5,0.0,0.0,,8.9,54.0,6.9,37.2,
"Lincoln, KS",73.0,,118179.0,5.0,43.5,2924.0,,21.7,0.0,0.0,,,41.0,26.7,44.1,
"Lincoln, KY",59.0,37.2,197968.0,7.6,18.8,24415.0,3.4,,71.4,31.1,,6.8,46.0,10.9,41.9,
"Lincoln, LA",48.0,,215507.0,1.1,2.2,48160.0,25.6,18.3,,20.2,1.6,6.5,49.0,11.1,28.6,2.8
"Lincoln, ME",,,,,,,82.3,24.0,0.0,17.1,5.2,,55.0,31.9,51.1,
"Lincoln, MN",,,,,,,128.5,,100.0,0.0,,,56.0,20.4,45.0,
"Lincoln, MO",32.0,15.3,295689.0,3.4,14.1,61636.0,13.4,4.8,,19.7,10.9,4.5,49.0,5.0,37.5,9.4
"Lincoln, MS",85.0,,176844.0,2.4,,34830.0,16.3,5.5,,15.5,1.1,,52.0,17.9,41.2,2.6
"Lincoln, MT",,,,,,,34.2,11.7,30.7,20.8,6.7,,41.0,19.4,52.6,
"Lincoln, NC",44.0,1.1,400478.0,2.2,49.6,95675.0,50.2,14.4,14.4,32.2,14.2,3.4,41.0,7.2,44.3,10.3
"Lincoln, NE",42.0,18.5,210288.0,4.9,1.3,34122.0,20.9,7.1,58.6,14.8,,5.3,52.0,12.0,42.4,
"Lincoln, NM",78.0,25.8,354769.0,,37.0,20227.0,84.2,12.2,,19.0,3.8,,41.0,47.2,52.7,
"Lincoln, NV",85.0,65.8,223359.0,,53.8,4452.0,39.5,15.3,0.0,12.5,,,39.0,29.9,43.6,
"Lincoln, OK",59.0,14.5,184197.0,4.4,54.1,33917.0,50.6,,16.6,29.5,,5.7,37.0,10.6,41.3,
"Lincoln, OR",,,,,,,40.8,9.2,,30.3,5.7,4.9,39.0,29.4,52.5,3.3
"Lincoln, SD",37.0,,373657.0,2.7,,73238.0,16.6,18.0,,12.9,33.3,4.1,50.0,4.1,35.9,50.0
"Lincoln, TN",54.0,26.6,254442.0,4.4,70.5,35617.0,69.1,15.6,8.5,27.2,5.6,,37.0,9.5,43.0,4.1
"Lincoln, WA",,,,,,,0.8,25.5,28.5,26.6,8.0,,42.0,20.2,46.9,
"Lincoln, WI",,,,,,,23.4,16.0,,20.0,1.9,3.3,61.0,22.5,49.2,
"Lincoln, WV",40.0,,107126.0,0.7,,20170.0,,0.0,,32.0,,,50.0,18.4,44.0,
"Lincoln, WY",50.0,17.6,497763.0,4.4,28.3,20158.0,42.8,36.8,77.7,14.6,6.0,,47.0,19.3,41.2,4.7
"Linn, IA",43.0,14.6,229889.0,2.9,18.3,228972.0,22.9,3.1,9.3,20.8,1.3,4.7,45.0,7.1,39.6,5.5
"Linn, KS",54.0,,148187.0,2.9,44.2,9723.0,42.8,8.9,,31.5,0.9,6.0,42.0,17.0,45.5,
"Linn, MO",75.0,13.2,130910.0,3.6,32.2,11850.0,40.0,2.4,,22.6,,,42.0,20.0,42.4,
"Linn, OR",,,,,,,13.7,9.0,12.9,30.0,3.2,4.3,42.0,4.1,40.4,5.8
"Lipscomb, TX",36.0,,121776.0,,36.1,2964.0,,,0.0,0.0,,,26.0,26.8,37.4,
"Litchfield, CT",,,,,,,,,3.2,,1.3,4.4,,12.1,47.6,0.5
"Little River, AR",66.0,,145490.0,,18.1,11959.0,,25.7,,13.3,,7.9,47.0,21.1,42.2,
"Live Oak, TX",81.0,,224856.0,0.0,40.0,11444.0,17.7,,0.0,22.2,,,36.0,29.4,38.6,
"Livingston, IL",39.0,,149509.0,5.6,,35659.0,72.5,0.0,,27.5,,7.8,62.0,8.2,41.9,0.2
"Livingston, KY",56.0,,148002.0,9.5,,8941.0,41.1,23.0,40.0,25.8,,11.2,56.0,24.1,45.7,
"Livingston, LA",64.0,7.5,249636.0,1.2,9.4,150145.0,13.9,3.9,,22.4,7.5,5.8,44.0,8.7,36.1,4.6
"Livingston, MI",30.0,,390971.0,3.5,,196757.0,5.4,27.3,,20.3,2.8,4.0,53.0,4.9,44.4,5.6
"Livingston, MO",58.0,9.4,181182.0,7.2,2.1,14330.0,24.2,7.8,0.0,8.3,,,52.0,13.3,39.9,
"Livingston, NY",21.0,,231459.0,7.3,,61588.0,,29.0,38.0,11.4,,4.2,64.0,10.5,41.4,
"Llano, TX",73.0,1.7,480173.0,,77.6,22011.0,28.0,4.5,,23.8,6.6,3.0,31.0,34.4,57.5,2.8
"Logan, AR",67.0,10.2,161086.0,5.9,,21240.0,8.7,14.4,,19.7,,,54.0,13.0,43.8,
"Logan, CO",54.0,,251910.0,3.3,82.4,21067.0,20.9,9.8,14.2,24.7,,4.3,34.0,6.4,39.1,
"Logan, IL",43.0,,132623.0,3.0,,27870.0,25.9,4.6,13.6,16.4,,,63.0,7.1,40.5,
"Logan, KS",74.0,93.4,140958.0,12.6,57.1,2720.0,15.7,37.5,100.0,0.0,,,39.0,9.7,41.1,
"Logan, KY",49.0,21.2,214193.0,6.6,87.4,27731.0,64.6,19.2,3.2,27.4,3.2,4.0,35.0,12.3,40.6,0.5
"Logan, OH",45.0,9.7,246041.0,6.0,,46140.0,18.2,10.8,,24.8,1.8,,54.0,17.8,42.1,1.7
"Logan, OK",51.0,9.7,295709.0,0.6,73.1,50905.0,37.3,10.4,24.6,26.3,10.5,3.8,36.0,9.4,40.2,10.5
"Logan, WV",70.0,79.4,94959.0,6.9,,31826.0,,9.5,,24.2,,,58.0,16.2,44.1,
"Long, GA",64.0,52.3,274272.0,3.2,82.7,17512.0,137.6,1.5,,16.7,,4.7,34.0,11.6,33.6,
"Lonoke, AR",50.0,53.8,228375.0,2.5,28.8,75944.0,58.9,,10.5,26.5,3.1,6.5,42.0,5.7,39.9,4.8
"Lorain, OH",33.0,8.2,249211.0,6.0,,317910.0,21.8,11.8,,21.1,2.7,5.2,56.0,6.3,42.4,4.2
"Los Alamos, NM",40.0,364.7,596253.0,5.5,158.2,19374.0,264.2,,,34.0,5.5,4.8,28.0,5.1,41.1,3.3
"Los Angeles, CA",,,,,,,47.1,9.2,4.6,20.1,,3.1,40.0,6.1,38.6,3.2
"Loudon, TN",60.0,42.0,424391.0,1.9,76.7,56996.0,57.0,3.5,,37.0,10.4,4.2,33.0,7.7,48.7,11.4
"Loudoun, VA",23.0,,814730.0,4.7,23.6,436347.0,108.8,22.6,5.8,24.6,7.2,3.5,50.0,2.4,38.3,9.3
"Louisa, IA",43.0,,166849.0,6.0,36.5,10710.0,180.0,5.6,66.6,37.5,,,46.0,12.5,41.8,
"Louisa, VA",51.0,,404768.0,5.4,16.4,39012.0,53.3,7.4,,21.3,10.2,5.0,45.0,15.7,44.8,4.8
"Love, OK",85.0,38.2,188911.0,1.4,26.1,10196.0,52.0,5.5,12.5,26.0,2.6,,43.0,20.2,38.6,3.3
"Lowndes, AL",36.0,,148935.0,0.1,,10008.0,100.0,20.0,0.0,25.0,,7.2,56.0,13.7,42.7,
"Lowndes, GA",45.0,,220218.0,3.5,,120712.0,,10.0,,18.1,3.7,7.5,54.0,8.4,34.0,8.8
"Lowndes, MS",47.0,,183754.0,5.7,,58187.0,9.4,9.0,0.0,23.9,,8.8,52.0,15.5,37.0,
"Lubbock, TX",44.0,4.7,211164.0,,57.0,320940.0,,6.9,,20.3,4.4,6.9,33.0,10.3,32.1,10.1
"Lucas, IA",61.0,,171528.0,4.7,135.7,8685.0,24.4,20.4,100.0,11.2,1.0,,35.0,9.9,43.3,
"Lucas, OH",32.0,17.4,166710.0,5.3,,425484.0,20.4,10.4,2.6,17.5,,7.9,56.0,9.2,38.5,
"Luce, MI",,,,,,,0.0,,250.0,0.0,,,58.0,41.0,44.6,
"Lumpkin, GA",50.0,33.3,387541.0,3.2,8.0,33931.0,45.1,10.0,,38.9,6.1,3.2,49.0,14.6,36.9,
"Luna, NM",81.0,,157236.0,1.4,,25420.0,75.3,,40.0,22.7,4.7,,53.0,21.4,36.6,2.9
"Lunenburg, VA",51.0,,137060.0,2.3,,11990.0,66.6,38.8,0.0,21.6,,,57.0,20.9,44.8,
"Luzerne, PA",37.0,13.8,213718.0,5.6,,327388.0,30.8,5.7,,32.9,3.0,6.3,55.0,10.2,41.9,0.8
"Lycoming, PA",42.0,30.7,222967.0,3.1,,112724.0,45.1,12.1,5.6,34.1,,4.3,53.0,11.2,41.4,
"Lynchburg, VA",42.0,27.2,244463.0,2.2,28.0,79535.0,18.3,3.3,,17.4,,7.0,43.0,15.7,28.2,5.4
"Lynn, TX",59.0,,178592.0,,20.0,5667.0,,,,25.0,,6.1,36.0,18.2,37.2,
"Lyon, IA",125.0,36.9,237731.0,8.0,100.0,12087.0,63.6,18.0,0.0,17.3,2.7,,30.0,8.5,38.1,
"Lyon, KS",44.0,87.1,183346.0,3.6,36.5,32145.0,109.8,15.3,15.3,30.7,,3.4,47.0,11.1,33.1,
"Lyon, KY",77.0,61.9,172987.0,10.5,,8831.0,50.8,9.5,,27.5,7.8,,56.0,31.0,47.8,
"Lyon, MN",,,,,,,,5.8,21.4,7.8,,,60.0,11.1,37.3,0.0
"Lyon, NV",,,,,,,23.5,11.4,,23.9,14.0,4.1,45.0,6.3,42.9,7.8
"Mackinac, MI",,,,,,,,33.3,,14.0,0.4,,65.0,51.5,53.3,
"Macomb, MI",32.0,16.3,268454.0,3.6,4.0,875101.0,37.8,9.7,,21.3,0.0,5.8,49.0,4.1,41.4,1.9
"Macon, AL",84.0,9.4,119951.0,3.0,20.7,18951.0,64.1,,,10.0,,12.3,45.0,26.0,37.8,
"Macon, GA",124.0,171.4,99253.0,,44.2,11953.0,15.7,,,0.0,,,37.0,22.8,39.9,
"Macon, IL",30.0,,117849.0,4.3,,100591.0,0.0,20.8,2.7,36.8,,7.9,62.0,12.0,40.2,
"Macon, MO",57.0,,171176.0,3.4,,15163.0,,,0.0,10.0,,,56.0,19.9,42.9,
"Macon, NC",50.0,,359981.0,5.3,,37533.0,31.5,15.7,,19.3,9.0,5.2,55.0,33.1,50.1,5.9
"Macon, TN",52.0,14.4,259187.0,3.5,65.4,25793.0,25.7,3.7,,30.9,9.8,4.2,33.0,15.1,38.3,6.2
"Macoupin, IL",51.0,17.9,136614.0,,,44566.0,11.4,14.9,13.5,26.0,,7.7,55.0,17.4,44.3,
"Madera, CA",,,,,,,41.3,6.1,11.1,25.5,3.2,5.4,39.0,9.6,35.0,1.5
"Madison, AL",57.0,26.6,311687.0,,66.3,412600.0,29.3,3.7,9.8,25.7,12.5,5.4,34.0,7.2,37.8,10.9
"Madison, AR",63.0,,260142.0,4.7,40.6,17032.0,9.4,0.7,25.0,17.9,5.9,4.2,39.0,17.1,41.2,1.9
"Madison, FL",79.0,61.8,206749.0,2.7,5.9,18113.0,0.0,0.0,,17.6,,,47.0,16.8,44.9,
"Madison, GA",46.0,,320872.0,4.5,44.4,30914.0,37.7,4.4,,21.0,6.9,4.4,41.0,11.9,39.8,3.0
"Madison, IA",38.0,,329555.0,4.9,1.1,16760.0,,8.0,57.1,17.2,5.4,2.4,50.0,5.7,41.0,2.1
"Madison, ID",47.0,,410435.0,2.3,60.9,53578.0,10.6,10.6,8.6,25.3,38.4,2.8,31.0,13.4,21.4,7.1
"Madison, IL",39.0,38.0,187890.0,3.3,,262752.0,28.4,10.6,,22.2,,6.7,59.0,7.1,41.1,
"Madison, IN",36.0,,182273.0,4.4,29.6,132504.0,20.4,23.0,,30.5,2.2,7.7,47.0,8.7,41.1,0.7
"Madison, KY",52.0,29.1,275446.0,7.2,50.5,96735.0,64.7,,,24.5,4.7,4.3,41.0,8.5,34.5,11.1
"Madison, MO",70.0,115.5,168117.0,3.3,19.3,12665.0,35.0,35.0,66.6,21.6,3.7,,49.0,21.3,41.4,
"Madison, MS",64.0,37.6,331623.0,1.0,6.4,112511.0,14.8,0.3,,20.8,6.5,6.1,48.0,5.0,37.9,9.1
"Madison, MT",,,,,,,22.6,7.3,,9.8,9.2,,46.0,42.1,54.1,
"Madison, NC",72.0,3.9,389929.0,3.4,20.2,21640.0,69.7,14.0,,27.9,1.0,3.0,46.0,25.0,44.5,2.8
"Madison, NE",47.0,37.2,247893.0,4.6,48.6,35535.0,44.7,9.6,3.8,23.0,1.0,3.4,40.0,7.9,37.1,0.8
"Madison, NY",,,,,,,,25.5,,9.8,,5.1,64.0,13.0,42.1,
"Madison, OH",29.0,14.0,307345.0,2.6,28.7,44126.0,14.2,0.0,21.6,37.9,0.3,3.7,45.0,6.1,41.5,1.8
"Madison, TN",61.0,57.4,228738.0,1.5,57.9,99193.0,40.1,6.9,,29.8,1.6,8.2,38.0,8.5,39.0,2.1
"Madison, TX",73.0,,283600.0,4.6,30.9,13574.0,7.2,4.2,0.0,18.1,,,42.0,18.7,35.8,
"Madison, VA",45.0,93.5,400526.0,5.3,2.8,13931.0,36.3,1.1,,11.7,6.0,,52.0,11.7,46.2,0.9
"Magoffin, KY",38.0,,135845.0,21.9,126.8,11495.0,192.3,40.7,0.0,18.1,,,39.0,16.5,41.9,
"Mahaska, IA",43.0,56.3,182991.0,4.5,14.2,22045.0,80.9,,7.6,23.8,,,48.0,8.4,39.1,
"Mahnomen, MN",,,,,,,0.0,28.5,,30.7,,,57.0,26.6,35.2,
"Mahoning, OH",50.0,13.6,165265.0,7.6,1.4,225596.0,23.1,0.3,,22.8,,6.4,52.0,8.4,43.3,
"Major, OK",67.0,,154362.0,2.0,,7656.0,,17.6,66.6,26.6,,,50.0,13.7,42.0,0.9
"Malheur, OR",,,,,,,17.4,,125.0,28.8,4.1,4.3,30.0,14.0,36.2,
"Manassas Park, VA",85.0,,461332.0,4.3,0.0,16923.0,,0.0,12.0,0.0,3.0,6.1,37.0,6.5,35.3,13.1
"Manassas, VA",22.0,51.7,498461.0,4.8,42.2,42674.0,263.1,40.8,2.5,14.0,2.9,4.6,48.0,2.6,34.7,6.2
"Manatee, FL",,,,,,,34.6,,,33.3,11.7,5.7,28.0,16.9,49.6,17.6
"Manistee, MI",,,,,,,31.6,18.8,,18.3,3.2,,55.0,33.9,50.3,
"Manitowoc, WI",33.0,,251608.0,8.1,15.7,81331.0,4.2,6.4,8.7,9.7,2.8,4.3,55.0,6.4,45.9,1.5
"Marathon, WI",,,,,,,7.9,22.1,,10.4,2.3,3.1,65.0,4.7,41.4,2.1
"Marengo, AL",92.0,7.2,137792.0,,,19027.0,20.0,,0.0,9.7,,,44.0,22.5,41.1,
"Maricopa, AZ",57.0,,475352.0,,60.2,4585871.0,25.7,2.7,6.1,40.7,3.9,4.4,32.0,8.3,37.8,8.5
"Maries, MO",58.0,,244038.0,4.8,40.0,8435.0,166.6,9.8,25.0,10.0,,,47.0,17.1,45.4,
"Marin, CA",,,,,,,37.5,32.6,16.1,26.6,,2.2,39.0,9.5,48.2,
"Marinette, WI",,,,,,,1.4,18.6,,18.9,3.3,4.5,61.0,36.5,48.8,
"Marion, AL",71.0,,158118.0,0.8,9.3,29190.0,27.7,,42.8,20.0,,,46.0,23.1,43.8,
"Marion, AR",70.0,37.9,218621.0,,,17076.0,33.3,7.6,,25.1,3.8,,50.0,24.1,51.9,1.9
"Marion, FL",72.0,18.5,277524.0,,91.7,409959.0,39.7,0.3,,31.1,13.8,6.6,28.0,11.8,47.7,14.0
"Marion, GA",57.0,,154645.0,,,7474.0,100.0,0.0,,0.0,,6.4,50.0,16.6,43.9,
"Marion, IA",43.0,,265236.0,6.0,50.5,33551.0,42.6,13.3,0.0,21.8,1.0,3.8,44.0,6.0,39.7,0.7
"Marion, IL",52.0,10.6,114574.0,,,37294.0,45.1,13.8,12.0,22.2,,,54.0,11.0,41.3,
"Marion, IN",43.0,10.2,232391.0,2.5,36.6,968460.0,28.1,12.4,,34.3,1.4,7.5,41.0,7.8,34.5,4.3
"Marion, KS",54.0,,132825.0,1.4,22.4,11795.0,68.4,1.5,,18.1,,,46.0,17.2,43.7,
"Marion, KY",64.0,9.4,210957.0,8.2,16.3,19680.0,13.8,13.8,150.0,24.4,2.3,,48.0,9.9,39.6,1.7
"Marion, MO",46.0,39.3,181838.0,8.7,18.8,28493.0,43.9,8.2,37.5,20.2,,,50.0,12.6,39.4,
"Marion, MS",56.0,,133355.0,2.2,,24303.0,,,,11.2,,,56.0,17.6,40.7,
