"Name","Home Price Forecast","Vacancy Rate","Investor Forecast","Price Cut %","Median Age","Housing Unit Growth Rate"
"Montour, PA","55","5.2%","-","16.6%","43.0","-0.7%"
"Portage, WI","63","4.3%","30","18.0%","37.9","2.8%"
"Portage, OH","56","8.4%","51","18.4%","38.8","3.3%"
"Alcona, MI","61","50.5%","-","8.6%","59.7","-7.3%"
"Presque Isle, MI","57","35.9%","-","22.2%","56.2","-5.8%"
"Montmorency, MI","59","46.5%","-","14.2%","56.7","-6.9%"
"Wexford, MI","52","18.7%","-","27.0%","42.2","-2.1%"
"Midland, MI","55","4.0%","52","19.4%","43.3","0.3%"
"Clinton, PA","51","18.1%","33","29.6%","39.8","-2.9%"
"Clinton, NY","55","8.2%","-","22.7%","43.2","2.8%"
"Clinton, MI","48","5.5%","53","20.8%","42.5","4.8%"
"Isabella, MI","57","12.7%","31","24.3%","29.8","-2.2%"
"Whitley, IN","48","6.7%","58","17.7%","41.8","1.8%"
"Lake, OH","57","3.1%","52","23.1%","44.5","3.4%"
"Lake, IN","44","9.6%","59","27.5%","39.8","2.2%"
"Lake, IL","64","4.0%","42","15.4%","39.6","2.3%"
"Lake, MI","46","63.2%","-","19.0%","50.3","-11.8%"
"Mason, MI","49","28.9%","-","14.2%","47.2","0.1%"
"Starke, IN","52","21.9%","-","30.4%","41.9","0.9%"
"Crawford, MI","59","41.4%","-","18.7%","51.5","-8.3%"
"Crawford, PA","59","17.4%","-","21.0%","43.9","-6.1%"
"Crawford, OH","48","8.6%","-","28.7%","43.3","-1.0%"
"Dickinson, MI","57","15.0%","-","21.9%","47.4","-0.9%"
"Outagamie, WI","56","3.6%","45","10.3%","39.8","4.3%"
"Ontonagon, MI","57","43.3%","-","10.5%","59.4","-7.4%"
"Lee, IL","60","10.7%","-","17.2%","43.0","-0.6%"
"Marquette, MI","62","14.7%","46","11.5%","39.9","-3.5%"
"Marquette, WI","62","30.0%","-","10.9%","50.5","-1.1%"
"Chittenden, VT","49","3.2%","59","15.6%","38.0","7.5%"
"Nantucket, MA","33","59.4%","-","4.8%","40.8","2.1%"
"Oxford, ME","51","35.1%","-","22.3%","48.3","-0.6%"
"Dukes, MA","46","58.4%","-","9.6%","50.4","-0.4%"
"Plymouth, MA","54","7.4%","50","29.4%","43.2","5.5%"
"Bristol, RI","60","9.9%","56","11.9%","44.1","2.6%"
"Bristol, MA","55","4.7%","56","29.9%","40.8","3.9%"
"Kent, MI","49","4.8%","61","19.1%","36.5","5.2%"
"Kent, RI","56","4.2%","57","12.9%","43.4","3.0%"
"Hampden, MA","57","6.5%","55","24.9%","39.9","1.9%"
"Middlesex, MA","49","5.0%","46","32.9%","39.2","3.9%"
"Middlesex, CT","-","8.7%","48","-","46.7","1.2%"
"Berkshire, MA","57","16.0%","49","17.5%","48.4","0.9%"
"Suffolk, MA","40","7.8%","49","27.3%","34.3","5.5%"
"Suffolk, NY","56","12.5%","50","9.7%","42.1","0.8%"
"Otsego, MI","54","26.1%","-","25.2%","44.5","0.2%"
"Otsego, NY","60","24.6%","-","8.8%","40.4","-3.8%"
"Onondaga, NY","59","6.4%","59","8.5%","39.8","1.4%"
"Monroe, NY","59","6.7%","52","4.1%","39.8","3.3%"
"Monroe, MI","54","6.1%","45","22.9%","42.9","3.4%"
"Monroe, PA","50","23.4%","49","24.0%","44.5","-2.1%"
"Luzerne, PA","55","10.2%","62","32.9%","41.9","0.8%"
"Trumbull, OH","57","6.8%","48","21.6%","43.3","-1.2%"
"Lorain, OH","56","6.3%","58","21.1%","42.4","4.2%"
"Huron, MI","52","32.0%","-","18.9%","49.4","-4.1%"
"Huron, OH","57","8.3%","-","16.8%","40.4","1.2%"
"Chippewa, MI","65","31.8%","-","15.1%","41.3","-5.0%"
"Charlevoix, MI","56","30.3%","-","24.3%","50.0","-0.2%"
"Kalkaska, MI","56","33.7%","50","18.8%","44.0","-5.3%"
"Luce, MI","58","41.0%","-","0.0%","44.6","-6.6%"
"Macomb, MI","49","4.1%","53","21.3%","41.4","1.9%"
"Gratiot, MI","53","9.5%","-","27.4%","39.7","-1.6%"
"Barry, MI","51","11.6%","47","30.0%","42.0","0.5%"
"Ottawa, OH","53","37.1%","-","29.0%","50.3","1.3%"
"Ottawa, MI","50","4.0%","52","21.1%","36.9","7.4%"
"Allen, IN","40","4.7%","64","28.0%","36.5","5.5%"
"Fulton, OH","57","4.6%","48","11.1%","41.6","1.0%"
"Fulton, NY","59","19.7%","-","27.8%","44.1","-3.0%"
"Fulton, IN","52","17.1%","-","16.6%","42.2","-1.6%"
"Alger, MI","61","43.7%","-","6.8%","48.8","-6.9%"
"Oconto, WI","61","30.7%","44","32.8%","47.4","-0.5%"
"Baraga, MI","61","34.1%","-","13.3%","46.2","-4.1%"
"Sheboygan, WI","56","5.7%","37","16.6%","42.6","2.9%"
"Milwaukee, WI","55","8.4%","37","17.5%","35.7","1.0%"
"DuPage, IL","63","3.8%","48","12.8%","40.6","1.7%"
"Jefferson, NY","57","18.4%","49","21.9%","34.1","3.2%"
"Jefferson, PA","57","17.4%","-","11.8%","43.7","-2.7%"
"Jefferson, WI","58","5.7%","45","16.4%","40.8","2.9%"
"Ogle, IL","62","8.5%","-","17.0%","42.0","-0.1%"
"Putnam, NY","60","5.5%","53","11.9%","44.3","-0.2%"
"Putnam, OH","57","5.0%","-","24.4%","40.0","-0.1%"
"Putnam, IL","52","19.4%","-","14.2%","47.2","-2.4%"
"Stephenson, IL","59","8.9%","-","18.3%","45.2","-2.6%"
"Carroll, NH","52","44.9%","-","17.9%","54.2","-1.9%"
"Henry, OH","50","6.8%","-","20.6%","41.7","-0.1%"
"Knox, ME","54","26.4%","-","18.9%","49.2","0.4%"
"Washington, RI","59","20.0%","34","8.9%","46.0","3.7%"
"Washington, NY","60","16.6%","-","15.7%","45.0","-1.1%"
"Washington, VT","57","17.4%","-","16.4%","43.7","0.7%"
"Washington, WI","52","4.9%","46","14.9%","44.1","4.1%"
"Washington, ME","55","35.5%","-","19.8%","48.6","-6.8%"
"Essex, NY","48","36.6%","-","15.3%","49.5","-3.3%"
"Essex, MA","55","5.1%","47","24.7%","41.7","5.3%"
"Essex, VT","55","44.4%","-","9.5%","51.4","-4.5%"
"Franklin, MA","59","6.1%","-","23.3%","47.7","1.1%"
"Franklin, NY","52","24.4%","-","16.5%","41.8","-0.8%"
"Franklin, ME","56","40.9%","-","16.0%","46.1","-4.6%"
"Franklin, VT","56","14.2%","41","18.4%","40.9","1.9%"
"New Haven, CT","-","5.8%","53","-","40.5","2.1%"
"Schenectady, NY","61","4.6%","46","9.2%","38.8","2.2%"
"Rockland, NY","58","4.5%","45","9.0%","34.7","2.4%"
"Schoharie, NY","62","24.8%","28","16.6%","45.7","-5.4%"
"Susquehanna, PA","60","26.6%","-","19.5%","48.6","-8.5%"
"Wayne, OH","50","5.6%","42","28.1%","38.5","0.8%"
"Wayne, PA","56","36.6%","-","20.2%","48.9","-0.5%"
"Wayne, MI","48","13.3%","55","17.6%","38.1","-1.4%"
"Wayne, NY","62","8.2%","58","2.1%","43.6","1.9%"
"Cameron, PA","62","43.3%","-","0.0%","52.5","-11.3%"
"Columbia, NY","58","21.7%","44","14.4%","49.5","-0.1%"
"Columbia, WI","48","9.6%","38","18.6%","43.3","0.7%"
"Columbia, PA","60","13.4%","47","16.1%","40.8","-1.2%"
"Union, PA","56","11.4%","-","20.3%","40.5","-6.6%"
"Geauga, OH","61","3.8%","46","17.6%","45.2","1.3%"
"Iosco, MI","59","42.6%","-","13.4%","53.5","-2.5%"
"Seneca, NY","58","15.2%","-","18.6%","42.8","-1.1%"
"Seneca, OH","51","7.7%","-","14.8%","40.5","-0.6%"
"Tuscola, MI","53","10.5%","-","25.1%","44.6","-1.8%"
"Wood, OH","51","6.0%","54","14.2%","36.1","7.0%"
"Genesee, NY","58","5.0%","-","10.1%","42.4","1.3%"
"Genesee, MI","47","10.9%","52","23.9%","41.0","-4.3%"
"Kosciusko, IN","52","17.7%","49","21.8%","38.7","1.2%"
"Pulaski, IN","51","16.0%","-","21.4%","42.4","-4.3%"
"Cook, IL","57","7.1%","48","14.8%","38.4","3.6%"
"Menominee, WI","52","37.8%","-","23.5%","33.8","-10.1%"
"Menominee, MI","61","24.5%","-","15.3%","49.9","-7.2%"
"Oneida, NY","58","8.5%","45","13.1%","41.2","0.3%"
"Ozaukee, WI","57","5.0%","33","10.4%","44.3","5.9%"
"Walworth, WI","53","20.4%","41","22.4%","41.8","2.7%"
"Rock, WI","52","7.4%","42","11.2%","40.1","3.3%"
"Waushara, WI","60","30.2%","-","19.2%","49.9","-1.6%"
"Stark, OH","53","7.3%","55","17.1%","42.2","0.9%"
"Stark, IL","55","11.4%","57","30.7%","44.6","-2.5%"
"Kauai, HI","44","19.6%","-","19.2%","43.2","-1.9%"
"Sevier, UT","32","15.0%","-","26.0%","36.7","-0.4%"
"Clark, NV","41","8.6%","59","32.6%","38.9","5.4%"
"La Paz, AZ","50","34.9%","-","29.6%","59.7","-16.1%"
"Douglas, NV","40","14.2%","56","22.9%","54.2","1.6%"
"Mono, CA","48","59.4%","-","21.9%","40.3","-3.1%"
"Tulare, CA","45","6.3%","72","25.5%","32.4","3.3%"
"Mariposa, CA","41","23.2%","-","23.3%","51.6","-5.6%"
"San Bernardino, CA","39","8.9%","63","23.0%","34.9","3.2%"
"Riverside, CA","40","9.7%","60","26.4%","37.1","3.4%"
"San Diego, CA","40","6.3%","49","27.8%","37.6","3.0%"
"Yolo, CA","39","7.7%","59","29.7%","32.6","6.5%"
"Napa, CA","35","8.7%","34","21.5%","43.6","1.0%"
"Lake, CA","39","24.1%","65","26.2%","43.2","-1.0%"
"Iron, UT","38","13.8%","49","22.3%","29.9","9.6%"
"Mohave, AZ","37","19.6%","64","28.3%","53.7","6.5%"
"Madera, CA","39","9.6%","65","25.5%","35.0","1.5%"
"Ventura, CA","42","4.7%","42","24.4%","39.9","2.3%"
"Nevada, CA","44","21.6%","48","23.7%","49.9","0.5%"
"Sacramento, CA","38","5.0%","63","32.2%","38.0","5.0%"
"Mendocino, CA","40","16.4%","-","20.7%","44.5","2.2%"
"San Joaquin, CA","36","5.3%","71","27.3%","36.0","7.9%"
"Santa Cruz, CA","35","7.5%","40","24.6%","39.8","0.3%"
"San Mateo, CA","39","8.0%","34","18.2%","41.5","3.1%"
"San Francisco, CA","37","11.0%","28","16.2%","40.7","4.1%"
"Millard, UT","33","14.4%","-","13.5%","33.4","-1.1%"
"Washington, UT","32","15.6%","58","28.8%","40.1","20.1%"
"Pima, AZ","34","8.0%","59","28.9%","40.1","4.6%"
"Lyon, NV","45","6.3%","48","23.9%","42.9","7.8%"
"Kings, CA","43","6.6%","59","25.9%","33.2","1.6%"
"Plumas, CA","49","46.4%","-","14.2%","52.1","-4.6%"
"Yuba, CA","38","6.4%","73","27.8%","34.4","8.9%"
"Butte, CA","38","8.0%","36","26.3%","35.9","-6.1%"
"San Luis Obispo, CA","46","12.9%","46","26.5%","41.0","3.0%"
"Merced, CA","43","4.6%","68","26.4%","32.2","7.6%"
"Monterey, CA","48","9.6%","45","20.4%","35.9","2.7%"
"Kane, UT","42","49.0%","-","18.4%","43.7","4.5%"
"Yuma, AZ","39","13.2%","43","20.2%","37.2","3.2%"
"Kern, CA","42","6.3%","67","22.1%","32.7","3.0%"
"Tuolumne, CA","38","27.5%","-","25.6%","48.8","0.0%"
"Los Angeles, CA","40","6.1%","38","20.1%","38.6","3.2%"
"El Dorado, CA","42","18.3%","45","30.1%","46.5","4.7%"
"Marin, CA","39","9.5%","32","26.6%","48.2","-0.7%"
"Garfield, UT","49","43.5%","-","7.0%","41.0","-8.1%"
"Coconino, AZ","43","19.8%","52","28.2%","32.7","6.2%"
"Yavapai, AZ","36","11.5%","62","32.3%","55.3","8.6%"
"Imperial, CA","46","14.9%","53","20.5%","33.4","1.5%"
"Alpine, CA","51","70.1%","61","17.7%","41.1","-8.4%"
"Santa Barbara, CA","48","6.7%","51","23.2%","34.9","2.2%"
"Contra Costa, CA","33","3.6%","42","25.4%","40.9","3.8%"
"Santa Clara, CA","40","5.4%","30","20.9%","38.3","3.7%"
"Juab, UT","31","5.4%","47","30.7%","30.5","7.3%"
"Maricopa, AZ","32","8.3%","63","40.7%","37.8","8.5%"
"Carson City, NV","46","5.0%","48","26.6%","42.1","4.5%"
"Nye, NV","41","12.8%","50","25.6%","52.4","12.7%"
"Amador, CA","41","15.0%","-","30.6%","49.9","3.5%"
"Solano, CA","33","4.7%","52","29.4%","40.0","4.2%"
"Stanislaus, CA","41","3.8%","65","26.8%","35.1","2.1%"
"San Benito, CA","40","6.9%","52","33.1%","36.6","16.5%"
"Beaver, UT","47","18.5%","-","5.7%","34.4","-2.3%"
"White Pine, NV","52","18.0%","-","9.0%","41.7","-8.1%"
"Churchill, NV","45","10.9%","-","15.6%","39.8","0.1%"
"Mineral, NV","43","21.3%","-","13.3%","41.9","-24.1%"
"Storey, NV","46","11.2%","49","23.5%","56.8","9.8%"
"Sutter, CA","42","4.6%","62","39.0%","38.0","1.3%"
"Colusa, CA","47","8.4%","-","26.0%","35.7","1.9%"
"Sonoma, CA","37","7.7%","36","25.0%","43.3","1.8%"
"Fresno, CA","41","5.4%","68","21.4%","33.9","4.2%"
"Alameda, CA","31","5.8%","34","21.8%","39.5","5.0%"
"Lincoln, NV","39","29.9%","-","12.5%","43.6","-16.0%"
"Pershing, NV","43","19.4%","-","0.0%","40.9","-7.5%"
"Inyo, CA","47","16.6%","-","17.0%","45.6","-0.4%"
"Orange, CA","48","5.2%","38","24.6%","39.7","3.7%"
"Sierra, CA","54","42.5%","-","17.3%","56.0","-12.3%"
"Placer, CA","41","12.2%","53","31.1%","42.4","9.3%"
"Calaveras, CA","40","35.1%","-","24.1%","52.0","-1.4%"
"Tehama, CA","43","9.6%","-","23.1%","40.2","0.4%"
"Glenn, CA","47","11.0%","-","38.8%","35.9","0.0%"
"Jersey, IL","53","19.2%","49","22.2%","43.2","-2.3%"
"St. Francois, MO","44","12.0%","-","26.1%","41.2","-4.1%"
"Tallahatchie, MS","38","21.2%","-","30.7%","38.4","-1.9%"
"Bolivar, MS","39","12.9%","-","17.9%","36.6","-4.7%"
"Lafourche, LA","40","7.5%","47","18.6%","40.0","-0.1%"
"Tangipahoa, LA","46","11.2%","50","24.3%","36.8","9.1%"
"Appanoose, IA","41","20.7%","-","30.5%","45.5","-4.7%"
"Pettis, MO","53","8.9%","-","28.3%","37.9","1.9%"
"Ray, MO","43","8.6%","42","25.2%","42.2","-1.6%"
"Woodruff, AR","46","15.8%","-","25.0%","44.9","-16.0%"
"Laclede, MO","52","9.3%","-","16.6%","39.6","-0.0%"
"Pope, AR","43","10.9%","49","19.0%","36.7","3.1%"
"Yell, AR","46","13.4%","46","18.8%","39.9","-5.7%"
"Dade, MO","40","19.8%","-","31.5%","46.7","-4.0%"
"Morehouse, LA","48","17.7%","54","11.9%","40.3","-5.5%"
"De Soto, LA","37","18.0%","43","28.3%","40.1","-2.0%"
"Bossier, LA","46","5.5%","58","23.4%","38.8","-0.8%"
"Pointe Coupee, LA","46","25.7%","37","14.2%","43.2","-3.7%"
"Acadia, LA","44","14.0%","44","28.5%","37.0","-4.5%"
"Shawnee, KS","54","9.0%","47","25.7%","40.3","1.4%"
"Republic, KS","37","25.3%","-","0.0%","46.0","-7.2%"
"Harlan, NE","39","36.5%","-","0.0%","47.1","-20.7%"
"Rogers, OK","45","7.4%","51","19.5%","39.0","4.0%"
"Tulsa, OK","46","8.2%","63","27.1%","36.2","5.6%"
"Murray, OK","50","24.0%","-","19.0%","41.5","-4.3%"
"Noble, OK","50","17.0%","-","16.3%","41.7","-5.1%"
"Grady, OK","39","11.9%","53","20.4%","39.9","2.2%"
"Kingfisher, OK","33","12.2%","-","21.7%","38.5","-1.6%"
"Barber, KS","52","26.6%","-","33.3%","42.6","-11.8%"
"Choctaw, OK","39","17.6%","-","12.5%","42.1","-6.2%"
"Van Zandt, TX","29","12.2%","-","28.2%","42.1","10.6%"
"Navarro, TX","30","15.1%","63","28.2%","37.4","4.9%"
"Hill, TX","32","17.5%","-","29.7%","40.8","0.1%"
"Bell, TX","27","8.1%","64","25.5%","32.5","11.4%"
"Parker, TX","30","5.2%","55","36.0%","38.3","20.4%"
"Palo Pinto, TX","39","27.7%","-","20.8%","41.1","-1.9%"
"Harris, TX","40","8.2%","50","24.7%","34.8","9.1%"
"Goliad, TX","50","20.9%","25","16.6%","44.8","-5.9%"
"Kendall, TX","37","8.2%","52","30.9%","43.1","19.2%"
"Gillespie, TX","32","20.9%","-","15.3%","50.5","8.9%"
"La Salle, TX","45","27.0%","-","0.0%","38.8","-22.5%"
"Frio, TX","41","19.3%","-","16.6%","31.8","7.2%"
"Jim Hogg, TX","42","36.7%","-","0.0%","25.0","-23.4%"
"Ness, KS","32","21.1%","-","40.0%","46.1","-14.8%"
"Greeley, KS","43","15.7%","-","0.0%","39.9","0.9%"
"Roger Mills, OK","51","23.0%","-","0.0%","42.0","-2.8%"
"Meade, KS","31","19.9%","-","26.6%","37.5","-5.5%"
"Donley, TX","35","38.3%","-","19.0%","45.4","-9.3%"
"Hutchinson, TX","39","31.7%","-","31.0%","38.1","-4.2%"
"Morton, KS","37","27.8%","-","0.0%","43.7","-9.8%"
"Prowers, CO","30","16.5%","-","11.4%","38.5","-8.5%"
"Dallam, TX","41","22.2%","-","28.5%","30.4","4.0%"
"Stonewall, TX","37","35.0%","-","0.0%","46.5","-21.9%"
"Scurry, TX","59","13.9%","-","17.0%","36.4","-4.1%"
"Lamb, TX","31","21.1%","-","34.0%","36.6","-2.9%"
"Terrell, TX","37","31.6%","-","0.0%","60.9","-15.2%"
"Las Animas, CO","35","17.6%","-","20.6%","46.5","-4.7%"
"Alamosa, CO","41","8.0%","-","18.1%","33.1","3.0%"
"Hinsdale, CO","48","65.8%","-","15.3%","54.8","-5.7%"
"Doña Ana, NM","44","6.6%","61","20.3%","34.8","5.4%"
"Cibola, NM","44","25.2%","-","11.2%","38.4","-1.5%"
"Navajo, AZ","45","27.7%","-","23.6%","40.4","-0.1%"
"St. Louis, MO","45","13.9%","51","24.1%","37.2","-1.3%"
"St. Louis, MO","50","6.1%","50","21.6%","40.6","1.1%"
"Ste. Genevieve, MO","46","14.5%","-","19.6%","43.2","-4.5%"
"Tunica, MS","54","23.5%","49","0.0%","34.7","-3.7%"
"Rankin, MS","45","6.7%","51","18.4%","39.8","5.4%"
"Sharkey, MS","52","16.3%","-","0.0%","36.6","-21.0%"
"Plaquemines, LA","36","14.8%","67","25.0%","36.8","-5.6%"
"St. Charles, MO","47","3.9%","60","18.8%","40.2","8.7%"
"St. Charles, LA","29","9.5%","57","25.2%","39.1","0.0%"
"Ralls, MO","48","21.3%","-","22.2%","45.8","-2.9%"
"Macon, MO","56","19.9%","-","10.0%","42.9","-3.2%"
"Chariton, MO","51","30.0%","-","0.0%","45.2","-8.6%"
"Buchanan, MO","55","13.7%","37","27.2%","38.6","-0.6%"
"Faulkner, AR","43","7.0%","58","18.5%","34.6","8.5%"
"Conway, AR","49","14.2%","-","12.9%","42.6","-1.2%"
"Le Flore, OK","42","16.1%","-","26.9%","38.8","-3.7%"
"West Carroll, LA","57","17.3%","-","26.6%","41.4","-8.7%"
"Concordia, LA","42","27.1%","-","7.0%","37.7","-5.5%"
"Drew, AR","41","15.5%","-","6.2%","37.7","-3.5%"
"Avoyelles, LA","44","20.6%","-","22.4%","38.2","0.0%"
"Bienville, LA","50","21.0%","-","13.7%","42.5","-12.0%"
"Little River, AR","47","21.1%","55","13.3%","42.2","-6.7%"
"Camp, TX","37","19.2%","-","27.4%","38.7","0.7%"
"Trinity, TX","37","26.9%","-","23.6%","49.8","-7.6%"
"Terrebonne, LA","37","10.7%","43","16.6%","37.9","3.4%"
"Vermilion, LA","44","15.4%","46","22.3%","39.4","-1.6%"
"Atchison, MO","63","15.8%","-","0.0%","47.7","-7.8%"
"Atchison, KS","51","13.7%","-","15.0%","36.4","-2.2%"
"Lyon, KS","47","11.1%","-","30.7%","33.1","-2.0%"
"Wabaunsee, KS","55","16.5%","43","18.1%","43.2","-4.9%"
"Gage, NE","49","11.8%","-","17.7%","42.8","-0.4%"
"Cloud, KS","41","18.2%","-","6.6%","39.4","-2.7%"
"Jewell, KS","34","27.9%","-","30.7%","50.3","-12.7%"
"Russell, KS","54","15.9%","-","11.1%","45.3","-4.7%"
"Rooks, KS","50","18.9%","-","30.7%","46.0","-3.9%"
"Nowata, OK","53","15.2%","-","29.6%","41.6","-9.7%"
"Okmulgee, OK","39","15.1%","48","28.2%","39.4","-6.4%"
"Elk, KS","56","28.3%","-","0.0%","49.6","-14.5%"
"Creek, OK","48","9.0%","51","33.6%","41.3","3.5%"
"Pontotoc, OK","47","14.3%","50","17.9%","37.5","3.9%"
"Sumner, KS","52","13.6%","43","28.5%","41.2","-5.0%"
"Blaine, OK","45","26.0%","-","12.1%","41.6","-8.2%"
"Woods, OK","41","21.8%","-","6.2%","33.9","0.6%"
"Limestone, TX","40","20.2%","-","24.4%","42.0","-1.9%"
"Rockwall, TX","29","6.4%","50","31.4%","37.6","29.1%"
"Grayson, TX","29","12.2%","60","28.2%","39.6","13.0%"
"McLennan, TX","31","11.4%","64","28.8%","34.2","6.9%"
"Denton, TX","31","5.1%","53","36.3%","37.3","22.1%"
"Carter, MO","42","27.0%","-","10.8%","39.6","-17.3%"
"Carter, OK","45","12.6%","-","19.1%","38.3","-0.1%"
"Cooke, TX","30","8.9%","-","32.8%","40.3","5.6%"
"Montague, TX","30","21.0%","-","26.8%","44.0","0.5%"
"Hood, TX","29","12.8%","60","34.9%","46.1","12.1%"
"Lampasas, TX","30","16.8%","47","32.4%","43.9","5.3%"
"Fort Bend, TX","43","4.4%","49","25.2%","37.6","21.9%"
"Austin, TX","40","13.5%","45","24.5%","41.6","6.7%"
"Burleson, TX","32","18.3%","53","18.1%","44.3","4.1%"
"Aransas, TX","30","25.6%","32","23.4%","51.0","-1.6%"
"Gonzales, TX","36","14.7%","-","11.1%","38.8","0.7%"
"Travis, TX","27","5.5%","53","36.1%","36.1","22.1%"
"Starr, TX","37","18.1%","-","13.2%","29.9","17.5%"
"Wallace, KS","33","12.8%","-","0.0%","47.2","-6.0%"
"Ford, KS","36","6.8%","-","16.8%","31.9","3.1%"
"Swisher, TX","33","19.2%","-","25.0%","36.5","-4.4%"
"Randall, TX","41","9.5%","58","26.5%","37.0","12.5%"
"Dickens, TX","46","38.2%","-","0.0%","45.7","-19.7%"
"Garza, TX","50","31.5%","39","0.0%","38.4","-3.2%"
"Hale, TX","29","17.6%","-","19.7%","34.1","-0.0%"
"Sutton, TX","43","28.9%","-","21.0%","34.9","-14.5%"
"Elbert, CO","30","5.2%","52","31.8%","44.8","7.7%"
"Denver, CO","25","6.5%","53","41.7%","35.4","10.9%"
"Broomfield, CO","27","2.5%","44","38.6%","37.9","19.0%"
"Lake, CO","30","26.6%","-","25.3%","36.9","-15.9%"
"Ouray, CO","45","27.4%","-","13.9%","55.6","8.0%"
"Rio Grande, CO","53","23.4%","-","18.6%","43.2","-2.8%"
"Archuleta, CO","44","39.1%","-","21.7%","52.2","5.2%"
"Chaves, NM","50","11.9%","50","16.0%","36.9","-2.3%"
"Presidio, TX","37","30.7%","-","6.7%","42.0","-16.3%"
"Duchesne, UT","52","24.9%","-","21.5%","33.8","-12.0%"
"McKinley, NM","53","16.2%","-","16.9%","35.0","-3.4%"
"Cochise, AZ","45","15.3%","38","20.0%","44.0","-1.8%"
"Santa Cruz, AZ","38","11.4%","-","19.8%","37.9","4.0%"
"Mississippi, AR","55","19.5%","-","8.7%","36.9","-7.1%"
"Simpson, MS","44","17.9%","55","13.0%","41.0","-3.6%"
"Leflore, MS","51","21.1%","-","16.6%","34.5","-3.8%"
"St. James, LA","39","14.0%","47","32.4%","40.8","-2.4%"
"Lewis, MO","55","25.4%","-","0.0%","38.2","-4.9%"
"Maries, MO","47","17.1%","-","10.0%","45.4","-7.7%"
"Grundy, MO","58","21.0%","-","12.9%","39.7","-3.0%"
"Sharp, AR","48","28.4%","-","10.9%","47.5","-3.6%"
"Izard, AR","45","25.5%","-","19.6%","47.5","-7.2%"
"Barry, MO","46","21.5%","-","22.4%","43.0","-3.0%"
"Benton, MO","49","39.8%","-","28.7%","54.4","-4.2%"
"Benton, AR","44","7.7%","72","20.8%","35.9","17.4%"
"Delaware, OK","46","30.2%","-","22.3%","47.0","-4.4%"
"Richland, LA","50","16.6%","55","17.7%","39.8","-2.8%"
"LaSalle, LA","38","21.2%","-","0.0%","38.6","-7.4%"
"Natchitoches, LA","47","24.4%","-","15.8%","33.3","-2.0%"
"Columbia, AR","48","24.2%","-","12.6%","34.5","-5.1%"
"Hempstead, AR","38","22.6%","-","5.7%","41.1","-8.2%"
"Sabine, LA","33","37.6%","-","23.5%","41.3","-8.5%"
"Sabine, TX","34","41.6%","-","23.5%","54.3","-6.6%"
"Rusk, TX","44","15.5%","57","25.7%","38.8","-1.2%"
"McCurtain, OK","28","19.3%","-","18.8%","37.9","-10.5%"
"St. Landry, LA","46","7.3%","-","19.1%","37.7","1.2%"
"Woodson, KS","49","33.4%","-","25.0%","49.9","-8.5%"
"Otoe, NE","55","8.0%","-","20.3%","41.8","-2.3%"
"Morris, TX","31","13.3%","-","22.0%","42.4","-3.8%"
"Morris, KS","59","16.4%","-","48.0%","48.7","-6.5%"
"Dickinson, KS","62","9.4%","-","10.3%","42.1","-4.1%"
"Harvey, KS","52","7.8%","57","22.5%","40.2","-0.8%"
"Kearney, NE","54","8.5%","-","0.0%","40.3","1.0%"
"Phelps, MO","46","12.8%","33","18.6%","36.2","0.2%"
"Phelps, NE","47","8.0%","-","21.0%","40.7","-2.2%"
"Okfuskee, OK","42","18.2%","-","18.6%","40.3","-10.1%"
"Garvin, OK","38","17.1%","-","20.5%","38.8","-5.9%"
"Canadian, OK","40","7.2%","69","27.8%","35.9","28.1%"
"Pratt, KS","60","19.5%","-","26.6%","38.2","-2.6%"
"Rains, TX","31","19.3%","-","21.3%","46.2","9.1%"
"Bryan, OK","31","11.5%","-","24.1%","36.8","1.7%"
"Freestone, TX","41","24.5%","-","26.1%","41.8","-3.3%"
"Collin, TX","32","4.8%","48","37.8%","37.6","20.2%"
"Jack, TX","37","23.2%","-","32.2%","41.3","-8.3%"
"San Saba, TX","24","26.4%","-","14.8%","40.1","-10.2%"
"Eastland, TX","31","23.6%","-","32.6%","42.6","-8.5%"
"Tillman, OK","37","29.6%","-","25.8%","39.6","-5.6%"
"Wilbarger, TX","28","18.9%","-","19.0%","39.5","-6.4%"
"Grimes, TX","38","15.5%","-","20.8%","40.5","8.7%"
"Lavaca, TX","40","20.2%","-","15.3%","43.1","0.6%"
"Fayette, TX","31","25.3%","-","20.3%","48.6","-5.3%"
"Live Oak, TX","36","29.4%","-","22.2%","38.6","-3.8%"
"Comal, TX","29","8.3%","50","29.6%","42.2","34.6%"
"Duval, TX","52","32.4%","-","0.0%","35.9","-20.7%"
"Kerr, TX","35","12.4%","49","23.9%","48.6","4.2%"
"Trego, KS","31","19.5%","-","0.0%","47.7","-0.0%"
"Norton, KS","53","21.8%","-","0.0%","40.2","-3.3%"
"Frontier, NE","47","23.2%","-","40.0%","42.8","-12.5%"
"Sheridan, KS","55","11.5%","-","0.0%","43.4","-8.0%"
"Finney, KS","37","7.5%","-","27.0%","32.1","5.7%"
"Hayes, NE","41","25.4%","-","0.0%","48.7","-6.9%"
"Kearny, KS","46","13.5%","-","0.0%","37.5","1.0%"
"Hamilton, TX","31","28.0%","-","18.8%","43.8","-4.7%"
"Hamilton, KS","33","25.2%","-","33.3%","36.4","-8.6%"
