"Name","Sale Inventory Growth (YoY)","Sale Inventory Growth (MoM)","Home Sales Growth (YoY)","Price Cut %","Population Growth","Cap Rate"
"Cuyahoga, OH","29.0%","9.4%","-4.6%","20.2%","-0.8%","6.9%"
"Medina, OH","3.6%","11.4%","7.8%","19.9%","2.7%","4.6%"
"Mahoning, OH","23.1%","0.3%","-1.9%","22.8%","-1.7%","6.4%"
"Roscommon, MI","57.0%","30.3%","-25.0%","31.8%","-0.9%","-"
"Benzie, MI","20.0%","38.4%","52.9%","15.3%","3.5%","3.9%"
"Manistee, MI","31.6%","18.8%","-7.1%","18.3%","3.2%","-"
"Schoolcraft, MI","2.0%","47.0%","-21.4%","22.2%","0.2%","-"
"St. Clair, MI","13.8%","14.3%","-8.6%","22.9%","0.3%","4.6%"
"Hillsdale, MI","21.5%","8.9%","18.9%","23.9%","-0.3%","-"
"Calhoun, MI","1.0%","-0.7%","-23.4%","25.5%","-0.8%","6.7%"
"Montcalm, MI","27.4%","16.5%","-7.8%","20.0%","7.8%","6.3%"
"Ionia, MI","11.7%","-1.5%","-2.0%","16.1%","3.2%","4.8%"
"Newaygo, MI","38.1%","14.5%","6.5%","37.1%","4.7%","-"
"Berrien, MI","21.6%","16.6%","-11.2%","20.3%","-1.2%","5.2%"
"Keweenaw, MI","37.5%","10.0%","300.0%","0.0%","-1.1%","9.6%"
"Florence, WI","18.1%","62.5%","0.0%","0.0%","6.4%","-"
"Langlade, WI","31.4%","46.0%","4.5%","16.2%","1.6%","-"
"Racine, WI","4.6%","2.1%","23.0%","15.5%","0.0%","3.8%"
"Boone, IL","19.5%","6.5%","42.1%","15.5%","-0.5%","3.9%"
"Bureau, IL","-7.2%","-6.2%","-12.0%","23.2%","-1.0%","7.2%"
"Piscataquis, ME","29.7%","22.5%","-32.0%","23.5%","1.4%","-"
"Caledonia, VT","-12.0%","-2.3%","36.3%","16.1%","0.0%","-"
"Lamoille, VT","19.6%","19.0%","-12.0%","20.0%","3.0%","-"
"Merrimack, NH","14.5%","31.6%","-2.5%","16.6%","3.9%","3.4%"
"Dutchess, NY","8.4%","20.9%","5.2%","13.4%","1.1%","4.0%"
"Ulster, NY","23.3%","23.9%","2.5%","16.2%","2.0%","4.4%"
"Herkimer, NY","3.1%","14.9%","-3.8%","11.5%","-4.1%","6.0%"
"Lewis, NY","-0.8%","14.5%","0.0%","26.0%","-0.3%","-"
"Lackawanna, PA","35.1%","14.0%","-12.5%","24.7%","2.5%","5.8%"
"Lycoming, PA","45.1%","12.1%","5.6%","34.1%","-0.8%","4.3%"
"Chemung, NY","115.8%","52.9%","48.8%","11.4%","-3.4%","7.6%"
"Schuyler, NY","34.3%","21.1%","-23.0%","16.6%","-1.3%","-"
"Tioga, NY","32.6%","7.6%","-24.1%","13.1%","-1.9%","5.9%"
"Tioga, PA","38.4%","4.6%","-9.0%","11.6%","-0.3%","-"
"Sussex, NJ","23.1%","22.7%","-13.4%","12.1%","3.7%","5.4%"
"Centre, PA","30.4%","9.9%","8.3%","18.6%","-3.0%","5.2%"
"McKean, PA","37.0%","4.2%","-33.3%","16.6%","-3.9%","8.5%"
"Niagara, NY","11.8%","13.4%","-3.5%","14.1%","-0.4%","4.7%"
"Forest, WI","73.0%","60.7%","-58.3%","7.4%","2.6%","-"
"Forest, PA","22.2%","-4.3%","133.3%","12.5%","-7.6%","-"
"Clearfield, PA","6.3%","1.0%","-13.3%","14.5%","-2.8%","8.5%"
"Butler, PA","19.7%","12.2%","2.4%","23.7%","5.6%","4.6%"
"Lawrence, PA","77.5%","8.1%","5.5%","19.5%","-1.9%","7.6%"
"Leelanau, MI","12.3%","45.9%","-13.3%","18.1%","4.4%","3.1%"
"Erie, NY","10.6%","26.2%","-11.0%","8.2%","2.8%","4.3%"
"Erie, PA","5.7%","20.0%","-6.3%","14.4%","-1.6%","5.1%"
"Erie, OH","25.4%","13.4%","1.4%","24.1%","-0.7%","8.3%"
"Oakland, MI","33.2%","13.9%","-10.7%","18.7%","0.8%","4.6%"
"Lucas, OH","20.4%","10.4%","2.6%","17.5%","-1.0%","7.9%"
"Washtenaw, MI","38.7%","14.1%","-4.1%","16.8%","-1.4%","4.8%"
"Livingston, NY","-4.7%","29.0%","38.0%","11.4%","-2.5%","4.2%"
"Livingston, IL","72.5%","0.0%","-21.4%","27.5%","-1.8%","7.8%"
"Livingston, MI","5.4%","27.3%","-11.5%","20.3%","2.8%","4.0%"
"Saginaw, MI","18.7%","2.9%","-7.1%","23.7%","-1.5%","6.0%"
"Jackson, MI","26.2%","15.5%","0.5%","21.0%","0.3%","5.0%"
"Ingham, MI","20.3%","-1.1%","-6.1%","15.5%","-2.7%","5.1%"
"Clare, MI","8.6%","10.5%","23.2%","17.5%","1.6%","-"
"Steuben, NY","32.2%","7.6%","-9.0%","13.4%","-3.7%","9.2%"
"Steuben, IN","4.8%","12.8%","10.7%","27.5%","0.5%","3.8%"
"Allegan, MI","25.8%","21.4%","3.4%","19.9%","3.9%","4.4%"
"Cass, MI","50.4%","9.5%","-31.1%","35.0%","0.2%","4.5%"
"Wyandot, OH","31.8%","-13.4%","23.0%","26.0%","-1.8%","-"
"Brown, WI","8.6%","6.0%","-17.7%","12.1%","3.0%","2.7%"
"Houghton, MI","48.6%","50.6%","-21.0%","28.2%","2.9%","11.8%"
"Porter, IN","19.8%","6.3%","3.4%","21.7%","3.3%","5.9%"
"Will, IL","14.9%","10.6%","5.8%","15.6%","1.2%","6.0%"
"Adams, WI","26.9%","4.6%","-10.0%","29.0%","4.2%","-"
"Ford, IL","-48.9%","-14.2%","-52.1%","11.7%","-0.0%","7.3%"
"Hancock, OH","51.2%","22.2%","49.2%","20.0%","-1.6%","6.0%"
"Hancock, ME","-2.7%","15.0%","-29.0%","19.1%","2.8%","-"
"Newport, RI","11.4%","17.0%","-1.5%","12.7%","1.5%","3.7%"
"Worcester, MA","35.4%","19.1%","1.0%","27.6%","4.3%","4.2%"
"Windham, CT","-","-","-6.2%","-","0.1%","4.1%"
"Windham, VT","38.4%","1.5%","-39.6%","7.2%","6.4%","-"
"Addison, VT","36.2%","16.9%","-12.5%","13.1%","1.5%","5.4%"
"Bennington, VT","37.1%","9.7%","-10.2%","7.3%","3.8%","-"
"Delaware, NY","0.5%","17.0%","-28.9%","10.2%","-2.0%","-"
"Pike, PA","33.7%","19.6%","-7.5%","20.4%","7.5%","-"
"Wyoming, NY","-3.2%","25.0%","-6.2%","4.8%","-1.4%","-"
"Wyoming, PA","20.0%","5.0%","142.8%","5.7%","-5.4%","4.8%"
"Yates, NY","-11.1%","10.3%","100.0%","5.7%","-1.4%","-"
"Ontario, NY","-3.2%","13.7%","10.0%","6.4%","2.3%","5.0%"
"Potter, PA","62.5%","14.7%","50.0%","17.0%","-3.9%","-"
"Morris, NJ","12.9%","20.4%","-9.2%","9.5%","4.0%","4.9%"
"Warren, PA","29.9%","1.6%","-27.5%","14.5%","-4.6%","-"
"Warren, NY","21.5%","34.2%","0.0%","18.4%","1.7%","3.0%"
"Warren, NJ","22.4%","16.1%","-11.3%","12.8%","5.1%","3.6%"
"Northumberland, PA","-3.0%","6.6%","-21.2%","20.2%","-1.0%","6.0%"
"Oscoda, MI","-2.0%","7.6%","-23.8%","13.5%","0.7%","-"
"Mackinac, MI","-17.3%","33.3%","-14.2%","14.0%","0.4%","-"
"Emmet, MI","12.7%","23.8%","-33.3%","20.0%","3.3%","-"
"Sanilac, MI","14.5%","16.5%","-31.0%","21.5%","-1.9%","-"
"Lenawee, MI","4.5%","8.8%","-26.4%","21.7%","-0.7%","-"
"Defiance, OH","75.5%","14.6%","34.2%","13.9%","-0.0%","-"
"Williams, OH","60.0%","2.4%","-11.3%","33.6%","-0.2%","-"
"Branch, MI","30.5%","10.0%","-56.0%","27.9%","3.0%","-"
"Noble, IN","55.7%","0.0%","-22.2%","35.6%","-0.0%","-"
"St. Joseph, IN","18.9%","-0.5%","-9.8%","23.2%","0.7%","7.2%"
"St. Joseph, MI","34.4%","7.6%","-30.1%","28.1%","-0.0%","-"
"Kalamazoo, MI","15.2%","15.2%","-16.5%","18.6%","-1.0%","4.7%"
"Muskegon, MI","13.3%","8.4%","-4.1%","21.2%","1.7%","5.2%"
"Van Wert, OH","-19.4%","-1.6%","26.9%","18.1%","1.9%","-"
"Miami, IN","54.3%","-10.2%","-19.2%","30.0%","-0.3%","-"
"Marinette, WI","1.4%","18.6%","-18.1%","18.9%","3.3%","4.5%"
"Shawano, WI","23.4%","17.6%","-5.4%","11.1%","-0.1%","2.8%"
"Iron, MI","50.5%","48.8%","-28.5%","19.7%","3.9%","-"
"Kane, IL","24.5%","20.0%","5.0%","12.7%","-3.6%","5.8%"
"Grundy, IL","25.2%","24.0%","19.6%","14.8%","4.7%","5.1%"
"Winnebago, IL","37.5%","10.4%","-2.1%","13.4%","-1.1%","6.1%"
"Winnebago, WI","5.3%","14.7%","6.8%","16.4%","0.4%","3.5%"
"Green Lake, WI","36.7%","24.0%","-16.0%","19.4%","2.1%","-"
"Jasper, IN","33.9%","-6.7%","3.7%","18.6%","-0.7%","5.8%"
"Marshall, IN","20.5%","16.5%","-26.9%","20.2%","-0.7%","-"
"Marshall, IL","-12.5%","-14.2%","-12.5%","10.2%","-0.6%","6.5%"
"Lincoln, ME","82.3%","24.0%","0.0%","17.1%","5.2%","-"
"Androscoggin, ME","22.6%","33.7%","-30.0%","25.8%","5.6%","4.6%"
"York, ME","61.4%","28.9%","4.5%","22.7%","5.9%","4.2%"
"Rutland, VT","34.0%","15.4%","23.6%","16.1%","2.0%","4.7%"
"Litchfield, CT","-","-","3.2%","-","1.3%","4.4%"
"Rensselaer, NY","9.2%","20.0%","4.8%","10.4%","-0.0%","4.6%"
"Montgomery, NY","40.9%","3.3%","-21.2%","16.9%","0.0%","5.0%"
"Tompkins, NY","18.3%","15.3%","2.1%","13.5%","0.7%","4.9%"
"Montour, PA","0.0%","8.4%","-11.7%","16.6%","-1.1%","4.9%"
"Portage, WI","15.8%","39.3%","-32.2%","18.0%","0.1%","3.2%"
"Portage, OH","43.8%","12.6%","-11.2%","18.4%","-0.1%","5.0%"
"Alcona, MI","28.2%","32.7%","25.0%","8.6%","-0.5%","-"
"Presque Isle, MI","46.4%","30.1%","33.3%","22.2%","2.6%","-"
"Montmorency, MI","51.7%","34.6%","-21.4%","14.2%","1.1%","-"
"Wexford, MI","31.2%","4.4%","-22.8%","27.0%","2.2%","-"
"Midland, MI","40.5%","4.2%","-13.0%","19.4%","0.9%","5.3%"
"Clinton, PA","21.0%","4.3%","85.7%","29.6%","-3.4%","4.8%"
"Clinton, NY","18.2%","11.4%","-9.3%","22.7%","-3.1%","-"
"Clinton, MI","60.5%","9.5%","11.8%","20.8%","0.4%","3.6%"
"Isabella, MI","14.4%","13.7%","17.3%","24.3%","-8.6%","4.9%"
"Whitley, IN","13.9%","38.0%","40.0%","17.7%","2.1%","4.5%"
"Lake, OH","13.0%","9.2%","5.5%","23.1%","0.4%","6.4%"
"Lake, IN","23.5%","3.6%","-2.0%","27.5%","3.3%","8.0%"
"Lake, IL","21.7%","14.7%","1.4%","15.4%","1.1%","4.8%"
"Lake, MI","34.7%","16.2%","50.0%","19.0%","5.3%","-"
"Mason, MI","10.5%","25.0%","31.8%","14.2%","1.0%","-"
"Starke, IN","26.0%","-3.8%","27.2%","30.4%","1.5%","-"
"Crawford, MI","20.0%","36.8%","-50.0%","18.7%","-4.0%","-"
"Crawford, PA","15.3%","6.1%","-17.0%","21.0%","-3.5%","4.5%"
"Crawford, OH","59.5%","7.9%","-4.0%","28.7%","-0.6%","5.5%"
"Dickinson, MI","85.7%","7.2%","-11.5%","21.9%","1.4%","-"
"Outagamie, WI","-6.8%","5.5%","-11.4%","10.3%","3.1%","3.7%"
"Ontonagon, MI","-9.3%","26.0%","50.0%","10.5%","-1.6%","-"
"Lee, IL","40.3%","5.6%","-11.5%","17.2%","-1.3%","6.1%"
"Marquette, MI","0.5%","38.0%","-27.0%","11.5%","0.7%","6.7%"
"Marquette, WI","57.3%","12.9%","21.0%","10.9%","3.2%","-"
"Chittenden, VT","69.8%","32.3%","2.6%","15.6%","2.9%","3.9%"
"Nantucket, MA","-0.9%","22.4%","-75.0%","4.8%","28.8%","-"
"Oxford, ME","50.4%","23.5%","21.4%","22.3%","2.4%","2.8%"
"Dukes, MA","-2.2%","25.1%","18.1%","9.6%","19.8%","-"
"Plymouth, MA","26.8%","19.8%","-4.8%","29.4%","3.3%","4.3%"
"Bristol, RI","34.8%","8.1%","42.3%","11.9%","3.4%","3.0%"
"Bristol, MA","45.5%","35.3%","6.1%","29.9%","3.1%","3.9%"
"Kent, MI","37.9%","31.6%","15.0%","19.1%","1.1%","5.3%"
"Kent, RI","27.1%","5.4%","0.0%","12.9%","4.5%","5.3%"
"Hampden, MA","18.9%","9.8%","-11.2%","24.9%","-2.1%","5.9%"
"Middlesex, MA","36.0%","19.3%","-0.0%","32.9%","0.5%","4.2%"
"Middlesex, CT","-","-","1.4%","-","0.8%","3.8%"
"Berkshire, MA","50.2%","28.8%","-9.6%","17.5%","0.3%","4.5%"
"Suffolk, MA","37.6%","18.9%","-12.4%","27.3%","-4.8%","4.6%"
"Suffolk, NY","9.2%","10.3%","-5.9%","9.7%","2.8%","5.4%"
"Otsego, MI","5.1%","46.9%","-42.8%","25.2%","3.9%","-"
"Otsego, NY","-8.7%","7.6%","-47.3%","8.8%","-0.8%","6.2%"
"Onondaga, NY","21.2%","20.0%","-2.7%","8.5%","1.3%","5.8%"
"Monroe, NY","-13.7%","13.6%","-8.9%","4.1%","0.8%","4.7%"
"Monroe, MI","33.5%","18.5%","-7.8%","22.9%","3.0%","4.7%"
"Monroe, PA","6.6%","11.1%","-12.8%","24.0%","-2.0%","6.4%"
"Luzerne, PA","30.8%","5.7%","-14.7%","32.9%","3.0%","6.3%"
"Trumbull, OH","41.5%","0.2%","20.8%","21.6%","0.8%","6.3%"
"Lorain, OH","21.8%","11.8%","-2.5%","21.1%","2.7%","5.2%"
"Huron, MI","26.4%","24.4%","-47.0%","18.9%","-0.9%","-"
"Huron, OH","26.5%","-3.8%","-14.8%","16.8%","-0.0%","10.5%"
"Chippewa, MI","11.2%","25.3%","-3.3%","15.1%","-3.6%","-"
"Charlevoix, MI","35.9%","31.3%","300.0%","24.3%","-0.2%","-"
"Kalkaska, MI","8.4%","58.0%","-54.5%","18.8%","3.7%","5.8%"
"Luce, MI","0.0%","-2.7%","250.0%","0.0%","-0.6%","-"
"Macomb, MI","37.8%","9.7%","-6.4%","21.3%","0.0%","5.8%"
"Gratiot, MI","22.9%","26.8%","20.5%","27.4%","1.0%","-"
"Barry, MI","21.1%","19.1%","43.1%","30.0%","4.8%","4.8%"
"Ottawa, OH","26.6%","4.7%","-33.8%","29.0%","-1.3%","7.1%"
"Ottawa, MI","21.6%","18.9%","-5.5%","21.1%","4.4%","4.2%"
"Allen, IN","40.8%","7.1%","-1.4%","28.0%","5.1%","5.5%"
"Fulton, OH","3.6%","7.6%","-25.7%","11.1%","0.3%","5.0%"
"Fulton, NY","1.0%","31.5%","-34.1%","27.8%","-1.7%","4.1%"
"Fulton, IN","18.6%","7.3%","-11.1%","16.6%","0.9%","-"
"Alger, MI","16.0%","70.9%","-60.0%","6.8%","-4.1%","-"
"Oconto, WI","19.1%","21.8%","-31.2%","32.8%","4.7%","2.2%"
"Baraga, MI","35.2%","35.2%","0.0%","13.3%","-3.0%","-"
"Sheboygan, WI","18.6%","20.5%","21.1%","16.6%","1.9%","3.0%"
"Milwaukee, WI","4.0%","10.5%","-13.7%","17.5%","-3.3%","4.5%"
"DuPage, IL","25.9%","9.7%","-8.2%","12.8%","-0.7%","5.7%"
"Jefferson, NY","13.0%","23.6%","10.9%","21.9%","2.7%","6.2%"
"Jefferson, PA","-17.4%","-7.9%","-62.5%","11.8%","0.0%","-"
"Jefferson, WI","2.2%","7.3%","-3.7%","16.4%","0.7%","2.9%"
"Ogle, IL","12.5%","-0.9%","-6.8%","17.0%","0.4%","5.2%"
"Putnam, NY","30.9%","28.7%","28.0%","11.9%","-0.8%","6.1%"
"Putnam, OH","30.2%","5.6%","20.0%","24.4%","1.1%","-"
"Putnam, IL","-9.5%","0.0%","40.0%","14.2%","-2.5%","4.9%"
"Stephenson, IL","41.9%","9.3%","-2.2%","18.3%","-3.0%","4.3%"
"Carroll, NH","40.7%","33.0%","6.4%","17.9%","7.1%","4.3%"
"Henry, OH","43.4%","4.7%","-12.5%","20.6%","0.9%","-"
"Knox, ME","56.3%","19.4%","-3.0%","18.9%","2.6%","4.7%"
"Washington, RI","17.8%","18.9%","-12.8%","8.9%","3.0%","2.8%"
"Washington, NY","10.5%","15.5%","-7.3%","15.7%","-1.5%","4.1%"
"Washington, VT","65.6%","33.3%","-14.6%","16.4%","2.5%","3.7%"
"Washington, WI","12.5%","14.2%","-7.9%","14.9%","1.8%","3.6%"
"Washington, ME","16.6%","15.9%","29.1%","19.8%","-1.3%","-"
"Essex, NY","24.1%","16.5%","-11.7%","15.3%","-1.7%","-"
"Essex, MA","34.7%","28.3%","3.1%","24.7%","2.4%","3.7%"
"Essex, VT","16.6%","7.6%","-37.5%","9.5%","-3.8%","-"
"Franklin, MA","8.7%","14.0%","-10.0%","23.3%","-0.1%","-"
"Franklin, NY","39.5%","13.8%","0.0%","16.5%","-7.1%","-"
"Franklin, ME","37.4%","21.4%","-17.3%","16.0%","0.4%","-"
"Franklin, VT","27.4%","25.2%","38.7%","18.4%","2.7%","3.9%"
"New Haven, CT","-","-","7.0%","-","0.7%","4.7%"
"Schenectady, NY","11.6%","28.7%","-21.2%","9.2%","2.9%","4.6%"
"Rockland, NY","35.1%","25.0%","-13.6%","9.0%","4.6%","4.5%"
"Schoharie, NY","21.5%","33.3%","30.7%","16.6%","-4.4%","4.1%"
"Susquehanna, PA","14.0%","28.0%","24.0%","19.5%","-7.2%","-"
"Wayne, OH","77.9%","13.0%","2.5%","28.1%","0.4%","5.1%"
"Wayne, PA","-3.8%","9.8%","-21.9%","20.2%","-0.6%","3.6%"
"Wayne, MI","13.4%","8.7%","-11.4%","17.6%","-0.1%","8.2%"
"Wayne, NY","-21.5%","22.4%","-15.3%","2.1%","0.8%","5.0%"
"Cameron, PA","20.0%","15.3%","-50.0%","0.0%","-4.5%","-"
"Columbia, NY","-1.6%","15.8%","0.0%","14.4%","0.5%","5.0%"
"Columbia, WI","48.8%","15.7%","3.7%","18.6%","2.4%","2.6%"
"Columbia, PA","4.4%","12.3%","86.9%","16.1%","-0.0%","6.6%"
"Union, PA","23.7%","-0.8%","8.3%","20.3%","-5.6%","5.7%"
"Geauga, OH","16.4%","34.1%","6.8%","17.6%","1.4%","3.1%"
"Iosco, MI","35.2%","29.6%","-19.0%","13.4%","0.3%","-"
"Seneca, NY","43.8%","30.1%","-18.7%","18.6%","-4.2%","-"
"Seneca, OH","36.3%","15.3%","78.9%","14.8%","-1.1%","-"
"Tuscola, MI","25.5%","-1.0%","-19.3%","25.1%","-0.3%","-"
"Wood, OH","23.5%","4.6%","26.6%","14.2%","1.4%","5.3%"
"Genesee, NY","-2.3%","30.1%","-26.6%","10.1%","-0.2%","-"
"Genesee, MI","13.7%","6.9%","-14.4%","23.9%","-1.3%","5.5%"
"Kosciusko, IN","-3.9%","10.0%","-1.4%","21.8%","1.2%","3.8%"
"Pulaski, IN","64.0%","15.4%","0.0%","21.4%","-1.7%","-"
"Cook, IL","9.2%","7.1%","-6.5%","14.8%","-1.8%","6.6%"
"Menominee, WI","188.8%","13.0%","-83.3%","23.5%","-7.0%","-0.2%"
"Menominee, MI","-5.3%","4.7%","43.7%","15.3%","0.2%","4.9%"
"Oneida, NY","1.2%","15.0%","-24.8%","13.1%","-0.8%","6.0%"
"Ozaukee, WI","5.1%","14.0%","13.4%","10.4%","4.8%","2.2%"
"Walworth, WI","1.6%","1.9%","0.7%","22.4%","2.0%","3.4%"
"Rock, WI","10.3%","-1.7%","3.5%","11.2%","0.7%","3.7%"
"Waushara, WI","22.9%","34.0%","-15.1%","19.2%","2.6%","-"
"Stark, OH","53.5%","6.5%","1.7%","17.1%","0.3%","5.5%"
"Stark, IL","100.0%","20.0%","-66.6%","30.7%","-3.2%","7.0%"
"Kauai, HI","52.4%","0.7%","16.2%","19.2%","2.3%","6.0%"
"Sevier, UT","35.9%","26.8%","33.3%","26.0%","3.4%","-"
"Clark, NV","66.7%","7.2%","-7.0%","32.6%","4.7%","4.6%"
"La Paz, AZ","3.2%","3.2%","12.5%","29.6%","-19.7%","-"
"Douglas, NV","49.7%","14.4%","15.3%","22.9%","3.7%","4.1%"
"Mono, CA","49.4%","10.9%","-3.7%","21.9%","-7.0%","4.6%"
"Tulare, CA","47.2%","12.4%","8.3%","25.5%","2.9%","5.7%"
"Mariposa, CA","39.3%","20.6%","-50.0%","23.3%","-2.7%","-"
"San Bernardino, CA","48.5%","10.1%","2.4%","23.0%","1.1%","4.9%"
"Riverside, CA","51.5%","5.2%","-0.6%","26.4%","1.7%","4.4%"
"San Diego, CA","66.3%","13.1%","8.8%","27.8%","-2.1%","3.3%"
"Yolo, CA","67.3%","16.4%","5.4%","29.7%","0.0%","4.1%"
"Napa, CA","71.6%","16.2%","-22.3%","21.5%","-4.4%","3.3%"
"Lake, CA","36.2%","9.7%","-2.8%","26.2%","5.4%","6.4%"
"Iron, UT","42.4%","10.5%","1.4%","22.3%","21.1%","3.9%"
"Mohave, AZ","30.9%","2.9%","-1.3%","28.3%","6.7%","5.3%"
"Madera, CA","41.3%","6.1%","11.1%","25.5%","3.2%","5.4%"
"Ventura, CA","75.2%","14.2%","-7.8%","24.4%","-2.5%","3.5%"
"Nevada, CA","48.7%","31.7%","9.0%","23.7%","2.3%","4.6%"
"Sacramento, CA","66.1%","21.5%","5.6%","32.2%","2.8%","4.5%"
"Mendocino, CA","33.5%","15.1%","5.3%","20.7%","1.7%","4.2%"
"San Joaquin, CA","71.7%","11.1%","-10.3%","27.3%","6.4%","4.7%"
"Santa Cruz, CA","60.1%","21.0%","-1.2%","24.6%","-4.6%","3.2%"
"San Mateo, CA","37.7%","17.3%","12.2%","18.2%","-5.6%","2.1%"
"San Francisco, CA","4.0%","5.5%","-5.8%","16.2%","-8.4%","2.1%"
"Millard, UT","70.4%","0.9%","-20.0%","13.5%","3.5%","-"
"Washington, UT","45.8%","1.6%","5.5%","28.8%","17.9%","4.0%"
"Pima, AZ","54.6%","4.3%","-1.3%","28.9%","2.3%","4.9%"
"Lyon, NV","23.5%","11.4%","-6.0%","23.9%","14.0%","4.1%"
"Kings, CA","24.5%","-2.0%","1.0%","25.9%","0.8%","6.1%"
"Plumas, CA","36.7%","22.4%","-4.3%","14.2%","4.8%","-"
"Yuba, CA","19.7%","4.4%","-15.1%","27.8%","9.8%","4.7%"
"Butte, CA","25.3%","8.0%","-0.6%","26.3%","-10.4%","4.5%"
"San Luis Obispo, CA","51.0%","11.9%","-3.0%","26.5%","-0.8%","3.6%"
"Merced, CA","60.3%","9.5%","-2.4%","26.4%","6.2%","5.3%"
"Monterey, CA","27.9%","10.0%","21.7%","20.4%","-1.1%","3.4%"
"Kane, UT","-7.0%","19.8%","100.0%","18.4%","8.7%","-"
"Yuma, AZ","55.6%","-2.5%","40.9%","20.2%","0.5%","6.1%"
"Kern, CA","51.5%","6.8%","-3.4%","22.1%","1.9%","5.4%"
"Tuolumne, CA","53.5%","16.5%","14.2%","25.6%","1.7%","-"
"Los Angeles, CA","47.1%","9.2%","4.6%","20.1%","-4.3%","3.1%"
"El Dorado, CA","44.3%","27.5%","0.0%","30.1%","0.8%","3.5%"
"Marin, CA","37.5%","32.6%","16.1%","26.6%","-2.0%","2.2%"
"Garfield, UT","12.3%","16.2%","33.3%","7.0%","3.0%","-"
"Coconino, AZ","33.6%","20.3%","-19.5%","28.2%","1.1%","3.9%"
"Yavapai, AZ","24.6%","12.7%","0.5%","32.3%","7.3%","4.4%"
"Imperial, CA","48.2%","-2.0%","-36.0%","20.5%","-1.5%","5.9%"
"Alpine, CA","-5.0%","1.3%","100.0%","17.7%","47.9%","2.6%"
"Santa Barbara, CA","26.8%","12.5%","10.2%","23.2%","-1.1%","3.7%"
"Contra Costa, CA","60.9%","17.9%","-10.3%","25.4%","0.4%","3.7%"
"Santa Clara, CA","58.9%","12.0%","-0.8%","20.9%","-3.0%","1.7%"
"Juab, UT","97.3%","22.5%","-25.0%","30.7%","12.1%","2.6%"
"Maricopa, AZ","25.7%","2.7%","6.1%","40.7%","3.9%","4.4%"
"Carson City, NV","-17.8%","23.7%","7.1%","26.6%","7.1%","3.7%"
"Nye, NV","33.1%","0.1%","-43.7%","25.6%","21.7%","4.2%"
"Amador, CA","32.4%","19.9%","-13.7%","30.6%","8.4%","5.5%"
"Solano, CA","30.5%","9.5%","-4.1%","29.4%","0.5%","4.3%"
"Stanislaus, CA","46.7%","7.6%","-0.6%","26.8%","0.2%","4.5%"
"San Benito, CA","17.5%","3.3%","35.1%","33.1%","14.7%","3.1%"
"Beaver, UT","18.4%","18.4%","366.6%","5.7%","11.3%","-"
"White Pine, NV","-1.5%","8.7%","-42.8%","9.0%","-9.0%","-"
"Churchill, NV","43.8%","18.5%","-8.0%","15.6%","6.6%","5.2%"
"Mineral, NV","48.3%","6.9%","-25.0%","13.3%","2.4%","-"
"Storey, NV","-21.4%","-8.3%","0.0%","23.5%","5.0%","2.7%"
"Sutter, CA","41.2%","7.1%","11.9%","39.0%","1.1%","4.8%"
"Colusa, CA","-14.6%","-8.5%","-9.0%","26.0%","2.0%","-"
"Sonoma, CA","51.3%","28.8%","0.5%","25.0%","-3.6%","3.4%"
"Fresno, CA","41.7%","6.8%","13.3%","21.4%","2.2%","5.3%"
"Alameda, CA","53.2%","12.4%","-2.6%","21.8%","-2.6%","2.4%"
"Lincoln, NV","39.5%","15.3%","0.0%","12.5%","-13.9%","-"
"Pershing, NV","25.0%","33.3%","0.0%","0.0%","-1.6%","-"
"Inyo, CA","82.8%","20.7%","-50.0%","17.0%","3.9%","-"
"Orange, CA","79.2%","15.9%","-4.6%","24.6%","-1.5%","3.0%"
"Sierra, CA","31.2%","5.0%","-33.3%","17.3%","-6.7%","-"
"Placer, CA","41.7%","20.9%","-6.1%","31.1%","7.7%","3.7%"
"Calaveras, CA","41.2%","12.6%","-18.9%","24.1%","1.6%","4.9%"
"Tehama, CA","20.0%","9.2%","16.6%","23.1%","2.4%","5.3%"
"Glenn, CA","68.9%","12.6%","30.0%","38.8%","2.6%","4.8%"
"Jersey, IL","100.0%","-11.8%","-45.0%","22.2%","-3.3%","4.8%"
"St. Francois, MO","19.8%","4.7%","-16.6%","26.1%","0.5%","-"
"Tallahatchie, MS","22.2%","-24.1%","-50.0%","30.7%","-13.9%","-"
"Bolivar, MS","3.8%","-2.1%","16.6%","17.9%","-7.4%","-"
"Lafourche, LA","20.2%","0.9%","31.3%","18.6%","-3.1%","8.8%"
"Tangipahoa, LA","0.7%","5.5%","-8.9%","24.3%","3.2%","7.0%"
"Appanoose, IA","85.1%","22.7%","0.0%","30.5%","-2.1%","-"
"Pettis, MO","19.2%","15.6%","-20.9%","28.3%","1.9%","5.8%"
"Ray, MO","43.2%","-10.1%","-44.7%","25.2%","1.4%","4.0%"
"Woodruff, AR","11.1%","-4.7%","0.0%","25.0%","-7.5%","-"
"Laclede, MO","-6.3%","0.5%","10.0%","16.6%","2.0%","4.1%"
"Pope, AR","37.9%","1.7%","-15.0%","19.0%","0.2%","6.1%"
"Yell, AR","8.9%","4.2%","7.6%","18.8%","-6.3%","6.0%"
"Dade, MO","52.3%","3.2%","33.3%","31.5%","0.4%","-"
"Morehouse, LA","-4.5%","-20.0%","22.2%","11.9%","-3.9%","12.7%"
