"Name","Days on Market","Days on Market Growth (YoY)","Home Value","Home Value Growth (YoY)","Inventory Surplus/Deficit","Population"
"Phelps, NE","73","38.7%","$213,771","5.4%","-13.8%","8,983"
"Okfuskee, OK","72","-20.4%","$128,710","0.2%","47.2%","11,304"
"Garvin, OK","74","14.7%","$144,922","3.1%","36.3%","25,779"
"Garfield, OK","57","5.5%","$135,729","3.6%","0.4%","62,322"
"Canadian, OK","45","21.6%","$270,381","2.0%","44.1%","175,829"
"Pratt, KS","31","-43.1%","$122,213","7.0%","-56.1%","9,120"
"Rains, TX","67","12.6%","$276,255","0.4%","77.9%","12,505"
"Bryan, OK","65","50.8%","$229,452","1.3%","91.2%","47,237"
"Freestone, TX","74","14.2%","$237,824","-1.7%","25.6%","19,813"
"Collin, TX","39","23.8%","$524,929","-2.5%","69.3%","1,195,359"
"Hamilton, TX","89","-9.6%","$258,275","2.0%","82.6%","8,320"
"Jack, TX","59","-27.5%","$223,588","15.9%","122.7%","8,623"
"Eastland, TX","93","38.2%","$144,701","-6.5%","69.3%","17,846"
"Tillman, OK","57","1.7%","$53,511","-2.9%","81.4%","6,967"
"Wilbarger, TX","59","-12.2%","$99,480","-10.7%","75.1%","12,712"
"Trego, KS","225","252.9%","$129,686","8.5%","63.8%","2,778"
"Norton, KS","31","-52.3%","$100,899","9.5%","-4.0%","5,392"
"Frontier, NE","78","-27.6%","$152,877","1.5%","14.2%","2,562"
"Sheridan, KS","32","-87.7%","$198,452","10.5%","-33.3%","2,442"
"Finney, KS","66","10.0%","$237,707","1.8%","47.7%","38,001"
"Wheeler, TX","102","25.5%","$88,053","-10.7%","27.5%","4,902"
"Hemphill, TX","68","-53.5%","$162,030","-1.8%","17.0%","3,311"
"Lipscomb, TX","36","-58.8%","$121,776","-14.7%","36.1%","2,964"
"Coke, TX","103","34.6%","$140,927","-4.2%","3.5%","3,315"
"Macoupin, IL","51","17.9%","$136,614","-1.3%","-28.4%","44,566"
"Bollinger, MO","48","-36.4%","$198,426","4.6%","7.9%","10,591"
"Dunklin, MO","101","1.2%","$90,501","8.0%","38.2%","27,795"
"Grenada, MS","98","8.9%","$121,896","-0.5%","33.3%","21,342"
"Panola, TX","78","-6.0%","$199,933","-0.8%","6.9%","22,624"
"Panola, MS","61","-8.3%","$185,935","0.8%","28.3%","32,965"
"Yazoo, MS","60","34.8%","$106,773","7.7%","26.4%","26,837"
"Clark, AR","62","-7.8%","$154,954","1.6%","2.6%","21,378"
"Clark, KS","68","-39.0%","$84,623","3.7%","11.1%","1,987"
"Clark, MO","31","-75.4%","$144,689","3.8%","133.3%","6,680"
"Callaway, MO","36","-12.2%","$253,422","5.0%","12.8%","44,541"
"Boone, AR","66","1.1%","$222,776","4.7%","39.4%","37,896"
"Boone, MO","39","20.0%","$322,855","5.1%","-1.0%","189,463"
"Adair, OK","85","-16.6%","$166,216","8.0%","7.7%","19,595"
"Adair, MO","59","-0.4%","$179,170","2.2%","23.4%","25,224"
"Sullivan, MO","82","0.6%","$92,004","-13.5%","43.4%","5,903"
"Hickory, MO","50","7.0%","$190,059","2.9%","59.6%","8,501"
"Wayne, MO","59","-20.1%","$125,189","4.6%","15.3%","10,942"
"Wayne, IA","61","-21.5%","$128,451","5.6%","51.8%","6,518"
"Daviess, MO","52","-15.4%","$259,769","7.7%","9.0%","8,449"
"Bates, MO","75","53.8%","$219,646","6.3%","64.4%","16,121"
"Gentry, MO","77","-10.9%","$119,580","4.9%","-6.9%","6,224"
"Independence, AR","61","4.7%","$165,483","3.4%","-24.9%","38,120"
"Texas, MO","74","51.5%","$199,246","4.1%","17.4%","24,956"
"Searcy, AR","95","-19.1%","$167,379","-3.4%","54.5%","7,861"
"Christian, MO","44","13.5%","$309,939","3.2%","41.4%","94,422"
"Tensas, LA","106","42.2%","$140,886","-14.7%","5.1%","3,992"
"Bradley, AR","96","-13.9%","$105,860","-7.9%","44.0%","10,354"
"McPherson, KS","41","-10.5%","$215,940","5.0%","-22.7%","30,130"
"Barton, MO","50","26.9%","$178,067","4.3%","37.1%","11,685"
"Barton, KS","60","-8.0%","$111,875","2.0%","3.4%","25,275"
"Wagoner, OK","53","19.1%","$277,312","3.3%","37.1%","89,280"
"Chautauqua, KS","81","-1.8%","$87,548","5.1%","104.2%","3,370"
"Payne, OK","44","32.3%","$229,579","3.1%","-0.1%","83,352"
"Comanche, TX","78","0.0%","$221,564","2.2%","44.3%","13,786"
"Comanche, OK","50","16.2%","$147,381","2.4%","-0.5%","121,574"
"Comanche, KS","211","251.6%","$82,955","11.9%","-100.0%","1,685"
"Smith, KS","102","36.9%","$98,089","13.1%","74.5%","3,579"
"Smith, TX","55","17.0%","$277,984","0.6%","72.6%","245,209"
"Lamar, TX","62","4.2%","$196,779","1.7%","49.7%","50,421"
"Young, TX","77","6.2%","$176,772","-0.6%","30.7%","17,963"
"Callahan, TX","50","-13.7%","$209,436","5.3%","47.2%","14,017"
"Hodgeman, KS","12","-68.6%","$145,380","11.3%","-23.8%","1,676"
"Graham, KS","44","3.5%","$100,927","9.9%","94.5%","2,406"
"Gosper, NE","77","-37.9%","$317,668","6.6%","26.3%","1,929"
"Gove, KS","77","16.6%","$132,150","5.7%","60.0%","2,796"
"Red Willow, NE","52","49.2%","$172,143","3.2%","13.4%","10,611"
"Harper, KS","94","95.8%","$87,323","6.1%","7.4%","5,446"
"Harper, OK","67","-69.4%","$76,969","8.1%","50.0%","3,231"
"Beckham, OK","66","-10.2%","$142,551","6.2%","-12.2%","22,202"
"Harmon, OK","77","-60.2%","$60,115","11.3%","86.6%","2,452"
"McDonough, IL","74","39.6%","$98,821","-2.3%","-35.5%","27,102"
"Poinsett, AR","52","-20.0%","$116,544","-5.8%","76.3%","22,740"
"Iron, MO","71","-37.9%","$144,900","5.6%","29.8%","9,482"
"Hancock, IL","91","18.1%","$108,224","-0.6%","-2.6%","17,434"
"Henry, MO","67","31.3%","$215,522","6.4%","7.7%","22,194"
"Cole, MO","39","52.9%","$268,189","4.2%","-23.6%","77,278"
"Cooper, MO","44","-23.8%","$236,964","3.8%","21.8%","16,835"
"Putnam, MO","73","41.0%","$189,997","6.3%","-9.1%","4,675"
"Mercer, MO","55","-33.3%","$128,821","4.4%","64.1%","3,501"
"Caldwell, LA","86","60.7%","$124,988","5.3%","22.1%","9,563"
"Caldwell, MO","67","49.7%","$236,590","7.8%","112.9%","8,890"
"Andrew, MO","49","-2.0%","$284,692","8.2%","7.5%","18,086"
"Leavenworth, KS","47","-7.8%","$335,387","4.3%","14.3%","83,518"
"Page, IA","55","12.2%","$140,618","1.9%","53.5%","15,168"
"Shannon, MO","67","-40.9%","$170,643","6.8%","24.0%","7,137"
"Oregon, MO","73","10.6%","$162,338","4.7%","1.4%","8,704"
"Douglas, KS","32","13.2%","$330,169","5.2%","-0.4%","120,553"
"Douglas, MO","63","81.2%","$233,991","4.5%","82.5%","11,850"
"Ozark, MO","100","69.4%","$211,249","6.2%","53.9%","8,773"
"Baxter, AR","67","17.5%","$233,014","3.2%","28.8%","42,150"
"Wright, MO","59","29.6%","$204,385","7.0%","7.6%","18,722"
"Garland, AR","60","2.5%","$246,858","1.7%","42.0%","99,784"
"Lawrence, AR","57","48.0%","$124,740","7.1%","52.3%","16,265"
"Lawrence, MO","50","30.7%","$199,372","5.3%","58.4%","38,392"
"Vernon, MO","57","31.4%","$170,155","5.4%","-16.9%","19,713"
"McDonald, MO","64","88.2%","$219,455","5.1%","47.6%","23,492"
"Craig, OK","53","-13.8%","$185,980","5.7%","50.5%","14,215"
"Neosho, KS","72","48.4%","$102,168","-2.1%","13.1%","15,715"
"Arkansas, AR","89","-21.2%","$122,976","3.0%","18.3%","16,773"
"Catahoula, LA","128","133.9%","$102,806","-1.3%","2.4%","8,738"
"Calhoun, IL","61","-29.8%","$192,455","-1.2%","0.7%","4,406"
"Calhoun, AR","85","8.2%","$133,784","-1.8%","27.5%","4,717"
"Claiborne, MS","78","-35.8%","$100,801","7.1%","2.7%","8,908"
"Claiborne, LA","85","82.6%","$76,643","-21.5%","13.0%","14,019"
"Lafayette, MO","45","-18.3%","$232,435","8.2%","6.3%","32,974"
"Lafayette, AR","154","-25.3%","$91,909","-5.2%","41.6%","6,211"
"Polk, MO","46","16.4%","$270,865","4.6%","51.6%","32,109"
"Polk, AR","89","-7.7%","$181,114","7.3%","16.3%","19,348"
"Titus, TX","71","12.7%","$236,471","-1.1%","62.2%","31,284"
"Cass, IL","46","6.9%","$96,252","6.3%","-14.8%","12,826"
"Cass, TX","73","-4.5%","$155,509","-2.4%","56.9%","28,582"
"Cass, MO","50","34.2%","$325,234","2.9%","18.0%","111,732"
"Pottawatomie, OK","51","8.5%","$187,836","3.8%","57.3%","73,791"
"Pottawatomie, KS","33","-7.1%","$311,550","5.0%","-39.1%","25,808"
"Marshall, OK","70","5.3%","$194,166","-0.2%","43.2%","15,628"
"Marshall, KS","87","-23.3%","$138,350","4.4%","-17.9%","10,001"
"Ellsworth, KS","77","-24.1%","$121,995","9.2%","-8.3%","6,366"
"Mitchell, TX","110","24.2%","$98,623","-2.4%","-17.1%","8,989"
"Mitchell, KS","64","3.6%","$138,423","9.6%","128.5%","5,767"
"Edwards, KS","112","122.8%","$79,317","11.5%","109.5%","2,817"
"Rush, KS","92","-24.9%","$78,704","6.7%","88.2%","2,957"
"McIntosh, OK","66","0.0%","$182,374","1.2%","20.2%","19,237"
"Pittsburg, OK","62","21.5%","$142,087","3.1%","39.9%","43,629"
"Cowley, KS","50","-11.1%","$120,788","5.6%","-4.7%","34,487"
"Kay, OK","45","1.1%","$107,529","2.2%","10.2%","43,731"
"Dewey, OK","53","30.8%","$124,332","4.2%","38.6%","4,433"
"Woodward, OK","75","43.5%","$132,737","1.0%","-0.1%","20,260"
"Kiowa, OK","69","38.3%","$66,213","-3.8%","153.5%","8,458"
"Kiowa, KS","86","282.2%","$144,869","3.6%","73.9%","2,422"
"Pushmataha, OK","85","22.9%","$140,871","6.7%","102.5%","10,787"
"Wood, TX","64","12.2%","$273,890","2.6%","68.8%","46,094"
"Hunt, TX","62","11.3%","$284,367","-1.4%","119.3%","113,347"
"Kaufman, TX","54","4.9%","$313,890","-3.4%","98.4%","185,690"
"Tarrant, TX","44","25.7%","$332,551","-2.0%","64.2%","2,182,947"
"Bosque, TX","48","-26.1%","$233,804","2.0%","45.3%","18,546"
"Erath, TX","60","3.0%","$337,644","2.8%","86.7%","43,244"
"Beaver, OK","104","149.4%","$143,668","-2.1%","56.5%","5,041"
"Cottle, TX","102","-49.7%","$73,860","-6.3%","23.0%","1,302"
"Nolan, TX","84","-19.4%","$115,080","-6.6%","35.2%","14,565"
"Randolph, AR","75","-2.9%","$134,192","-3.5%","23.2%","18,733"
"Randolph, MO","49","-35.5%","$168,414","4.4%","14.0%","24,524"
"Randolph, IL","52","-19.3%","$144,795","-0.4%","-25.2%","30,142"
"Fulton, AR","73","-10.9%","$193,538","6.5%","17.8%","12,239"
"Fulton, IL","54","33.3%","$102,738","-3.6%","-33.4%","33,259"
"Tipton, TN","46","-2.1%","$267,249","1.2%","51.8%","61,339"
"Craighead, AR","61","23.2%","$211,958","-0.5%","34.2%","113,993"
"Ripley, MO","72","-12.4%","$141,824","3.3%","-29.0%","10,755"
"Hinds, MS","69","15.0%","$124,150","7.2%","12.9%","214,870"
"Copiah, MS","122","55.4%","$125,930","5.7%","14.6%","27,994"
"Pike, AR","88","74.2%","$183,254","3.8%","26.0%","10,182"
"Pike, IL","74","32.1%","$107,993","10.3%","31.4%","14,625"
"Pike, MO","45","7.1%","$195,464","6.9%","-8.3%","17,623"
"Monroe, IL","40","-42.8%","$324,174","5.5%","2.8%","34,969"
"Monroe, AR","100","84.3%","$91,390","-4.4%","6.0%","6,681"
"Monroe, MO","47","-22.9%","$196,062","6.8%","11.5%","8,672"
"Davis, IA","93","200.0%","$224,327","6.9%","61.4%","9,127"
"Camden, MO","58","11.5%","$329,767","0.3%","48.5%","43,416"
"Livingston, MO","58","9.4%","$181,182","7.2%","2.1%","14,330"
"St. Clair, IL","41","10.8%","$174,186","1.5%","-9.6%","251,018"
"St. Clair, MO","67","14.0%","$200,307","4.9%","1.2%","9,451"
"Wyandotte, KS","39","6.9%","$203,430","2.9%","42.7%","165,281"
"Doniphan, KS","70","-43.3%","$147,318","9.5%","-8.1%","7,492"
"White, AR","46","3.3%","$202,288","4.2%","27.2%","78,452"
"Howell, MO","80","17.6%","$224,914","5.3%","30.3%","40,168"
"Webster, NE","18","-29.4%","$132,068","3.2%","89.8%","3,385"
"Webster, LA","58","13.7%","$119,984","-6.9%","3.4%","36,189"
"Webster, MO","43","28.3%","$260,142","1.5%","47.8%","39,868"
"Newton, MO","44","15.0%","$240,092","7.2%","21.8%","59,490"
"Newton, AR","81","1.8%","$234,017","7.2%","74.1%","7,175"
"Stone, AR","66","-29.4%","$188,509","0.5%","12.0%","12,474"
"Stone, MO","72","1.0%","$332,222","-0.7%","72.4%","31,697"
"Montgomery, MO","72","41.1%","$209,074","4.0%","-23.8%","11,422"
"Montgomery, KS","58","12.0%","$90,510","4.8%","-26.1%","31,143"
"Montgomery, AR","87","6.7%","$203,205","10.7%","30.2%","8,571"
"Cedar, MO","45","-5.3%","$207,069","5.2%","-4.4%","14,440"
"Crawford, MO","56","16.2%","$211,801","3.2%","-6.2%","22,890"
"Crawford, KS","53","37.6%","$135,148","6.7%","15.9%","38,963"
"Crawford, AR","59","55.2%","$208,487","5.0%","42.0%","60,792"
"Jasper, MO","39","0.0%","$215,609","3.6%","22.4%","125,056"
"Ouachita, AR","94","68.4%","$89,499","-8.8%","-26.9%","22,317"
"Ouachita, LA","58","5.4%","$172,854","2.9%","-20.2%","157,568"
"Winn, LA","51","-36.2%","$107,430","-7.0%","33.3%","13,506"
"Sevier, AR","51","-39.6%","$160,918","5.8%","-10.6%","15,797"
"Bowie, TX","71","7.5%","$188,816","-4.1%","48.1%","91,687"
"Gregg, TX","55","2.8%","$216,789","2.3%","24.6%","126,243"
"Upshur, TX","78","45.7%","$238,977","2.6%","53.0%","41,864"
"Richardson, NE","81","29.5%","$107,328","-3.2%","-8.8%","7,797"
"Riley, KS","40","2.5%","$262,265","5.9%","-33.0%","71,402"
"Rice, KS","38","-8.5%","$100,512","-2.9%","20.2%","9,389"
"Franklin, KS","34","5.4%","$244,917","5.8%","42.2%","25,994"
"Franklin, TX","71","23.6%","$310,449","2.1%","69.7%","10,522"
"Franklin, MO","51","33.3%","$257,193","3.8%","-7.1%","106,404"
"Franklin, AR","61","11.9%","$169,791","1.3%","21.9%","17,220"
"Franklin, LA","67","-32.1%","$110,038","0.0%","2.4%","19,590"
"Franklin, NE","34","-50.9%","$133,502","7.6%","-8.5%","2,868"
"Ellis, TX","51","4.0%","$376,630","-0.8%","64.8%","222,829"
"Ellis, OK","35","-56.2%","$99,156","-2.9%","-11.7%","3,717"
"Ellis, KS","47","-16.9%","$235,674","6.8%","-4.2%","28,870"
"Muskogee, OK","50","5.8%","$152,348","5.7%","27.2%","66,677"
"Coal, OK","109","-15.0%","$123,356","9.7%","51.3%","5,275"
"Seminole, OK","71","11.3%","$111,307","3.9%","77.2%","23,550"
"Oklahoma, OK","39","4.7%","$221,638","0.2%","30.2%","808,866"
"Major, OK","67","-16.3%","$154,362","2.0%","-19.1%","7,656"
"Alfalfa, OK","139","273.1%","$85,418","-3.3%","44.4%","5,685"
"Washita, OK","171","199.1%","$102,755","0.2%","0.7%","10,857"
"Custer, OK","61","-21.6%","$171,861","6.7%","3.3%","28,332"
"Henderson, TX","71","6.7%","$278,919","1.6%","78.5%","86,158"
"Love, OK","85","38.2%","$188,911","1.4%","26.1%","10,196"
"Somervell, TX","67","16.5%","$413,004","1.7%","49.2%","9,510"
"Shackelford, TX","93","57.6%","$157,771","-5.5%","-5.2%","3,169"
"Scott, AR","88","49.1%","$144,194","4.2%","17.9%","9,839"
"Scott, IL","81","31.7%","$87,062","-5.8%","-41.4%","4,847"
"Scott, KS","28","-57.0%","$173,319","7.7%","-20.0%","5,071"
"Greer, OK","100","5.8%","$69,795","-6.6%","56.6%","5,498"
"Taylor, IA","124","103.2%","$126,812","7.2%","34.2%","5,901"
"Taylor, TX","52","2.9%","$203,695","-0.2%","40.8%","146,836"
"Runnels, TX","92","11.5%","$141,773","-4.0%","46.6%","9,880"
"Motley, TX","17","-50.9%","$113,927","7.6%","-33.3%","1,267"
"Mason, IL","47","-36.4%","$92,582","-3.0%","-55.8%","12,878"
"Knox, TX","107","95.4%","$87,559","-1.2%","160.8%","3,322"
"Knox, MO","41","-27.4%","$157,262","1.7%","3.5%","3,760"
"Brown, KS","41","-71.0%","$142,426","9.5%","14.7%","9,415"
"Brown, TX","60","-4.7%","$183,733","2.3%","30.2%","38,294"
"Brown, IL","56","-41.7%","$154,807","0.5%","-6.1%","6,320"
"Perry, AR","70","25.5%","$168,883","6.3%","48.5%","10,073"
"Perry, MO","74","66.2%","$215,748","5.1%","4.9%","18,947"
"DeSoto, MS","64","35.8%","$300,533","-0.4%","60.7%","193,247"
"Crittenden, AR","55","-20.8%","$154,275","-1.9%","20.5%","47,609"
"St. Francis, AR","61","-6.9%","$77,410","-0.0%","-10.2%","22,740"
"Reynolds, MO","71","-9.2%","$163,909","5.2%","17.4%","6,058"
"Carroll, MO","74","89.7%","$155,750","5.6%","-1.8%","8,459"
"Carroll, AR","68","-7.1%","$262,423","3.9%","24.3%","28,526"
"Carroll, MS","80","-38.2%","$178,938","1.4%","-6.2%","9,828"
"Holmes, MS","67","-8.5%","$73,081","13.1%","1.9%","16,491"
"Coahoma, MS","93","16.6%","$57,849","1.2%","-2.0%","20,808"
"Sunflower, MS","94","11.3%","$95,519","-0.0%","64.3%","25,328"
"Adams, NE","39","50.0%","$208,380","3.4%","61.8%","31,034"
"Adams, IL","47","-10.9%","$180,961","-2.8%","-49.5%","65,166"
"Lee, AR","80","-23.6%","$93,987","-1.4%","18.0%","8,511"
"Lee, IA","51","-7.2%","$116,575","0.6%","34.5%","33,175"
"Gasconade, MO","67","48.8%","$216,374","8.4%","16.0%","14,774"
"Audrain, MO","41","-48.4%","$167,905","5.1%","-12.3%","24,688"
"Osage, KS","57","14.5%","$203,030","6.5%","7.6%","15,780"
"Osage, OK","56","31.7%","$203,359","1.6%","26.1%","45,963"
"Osage, MO","31","24.0%","$261,654","6.0%","19.6%","13,379"
"Scotland, MO","90","203.3%","$120,428","-6.1%","28.0%","4,698"
"Moniteau, MO","45","119.5%","$227,526","6.3%","13.6%","15,303"
"Howard, AR","95","15.8%","$155,768","6.0%","47.6%","12,701"
"Howard, MO","78","80.2%","$225,193","7.2%","44.2%","10,141"
"Linn, KS","54","-7.3%","$148,187","2.9%","44.2%","9,723"
"Linn, MO","75","13.2%","$130,910","3.6%","32.2%","11,850"
"Harrison, TX","65","-0.7%","$209,753","3.3%","27.9%","70,895"
"Harrison, MO","158","49.0%","$120,240","7.9%","2.8%","8,198"
"Ringgold, IA","76","-16.1%","$165,625","3.2%","-0.8%","4,664"
"Platte, MO","50","33.3%","$386,173","2.1%","18.9%","111,940"
"Allen, KS","71","-9.8%","$103,760","2.8%","-1.4%","12,491"
"Dent, MO","74","74.1%","$182,521","2.2%","31.4%","14,506"
"Prairie, AR","85","103.5%","$148,278","3.5%","-25.3%","8,162"
"Lonoke, AR","50","53.8%","$228,375","2.5%","28.8%","75,944"
"Taney, MO","68","16.2%","$258,517","-2.6%","54.5%","56,382"
"Sebastian, AR","56","8.2%","$198,311","2.9%","14.1%","129,098"
"Sequoyah, OK","60","-0.8%","$182,906","4.7%","19.0%","39,676"
"Bourbon, KS","42","-9.2%","$127,708","5.0%","-31.9%","14,384"
"Latimer, OK","59","-46.7%","$133,878","-0.2%","27.2%","9,495"
"Labette, KS","63","18.4%","$89,437","3.4%","6.0%","19,949"
"Desha, AR","93","58.1%","$89,746","-9.5%","38.4%","11,041"
"Chicot, AR","148","119.2%","$93,086","-6.7%","-41.4%","9,997"
"Union, LA","75","8.7%","$150,219","0.2%","-2.5%","20,914"
"Union, AR","65","-7.8%","$122,169","-4.1%","-27.5%","38,368"
"Dallas, TX","45","20.0%","$320,162","-3.0%","68.3%","2,606,358"
"Dallas, MO","66","-13.5%","$230,308","1.8%","27.2%","17,344"
"Dallas, AR","137","65.5%","$93,453","-6.3%","-1.0%","6,351"
"Hot Spring, AR","56","-4.6%","$159,286","-1.1%","20.9%","33,142"
"Red River, TX","68","-20.4%","$165,501","-3.7%","68.9%","11,621"
"Red River, LA","98","20.3%","$139,758","4.6%","-56.3%","7,529"
"Caddo, OK","74","-2.3%","$94,580","2.4%","14.4%","26,626"
"Caddo, LA","68","18.2%","$139,151","1.5%","6.8%","226,386"
"Nemaha, NE","51","38.3%","$165,033","5.3%","-48.9%","7,035"
"Nemaha, KS","25","-35.0%","$213,364","6.9%","21.2%","10,213"
"Reno, KS","42","15.2%","$146,061","4.3%","-27.1%","61,693"
"Hall, TX","153","277.7%","$69,036","-9.3%","103.3%","2,827"
"McClain, OK","46","-30.3%","$287,872","1.9%","67.1%","43,779"
"Sedgwick, KS","45","18.4%","$218,535","2.7%","36.7%","528,469"
"Kingman, KS","62","24.8%","$159,205","7.6%","-24.7%","7,284"
"Delta, TX","68","-15.7%","$207,799","3.5%","74.6%","5,345"
"Wise, TX","54","-5.6%","$380,212","-0.4%","97.5%","78,097"
"Cotton, OK","58","46.8%","$105,473","3.5%","23.9%","5,475"
"Archer, TX","56","-26.3%","$232,412","-1.1%","-3.2%","8,734"
"Throckmorton, TX","217","27.6%","$141,249","-19.9%","40.0%","1,589"
"Baylor, TX","81","-1.8%","$122,080","6.5%","80.1%","3,464"
"Furnas, NE","35","-3.4%","$142,907","-4.8%","11.7%","4,605"
"Lane, KS","51","-42.9%","$106,949","13.9%","6.6%","1,497"
"Gray, KS","173","268.0%","$227,968","9.4%","89.4%","5,696"
"Gray, TX","43","5.5%","$101,069","-0.0%","23.6%","21,131"
"Haskell, TX","74","55.7%","$92,977","-7.9%","0.0%","5,390"
"Haskell, OK","53","-15.8%","$153,094","1.0%","40.5%","11,667"
"Haskell, KS","91","51.6%","$173,224","5.2%","76.6%","3,695"
"Grant, AR","44","-20.0%","$210,723","1.7%","46.2%","18,111"
"Grant, OK","52","-43.9%","$103,164","-0.8%","16.1%","4,137"
"Hardeman, TX","105","62.1%","$67,191","1.5%","175.8%","3,529"
"Morgan, MO","49","20.9%","$296,810","3.1%","23.2%","21,430"
"Morgan, IL","33","37.5%","$129,133","1.2%","-39.3%","32,621"
"Greene, AR","53","33.3%","$188,470","1.0%","47.7%","46,182"
"Greene, MO","42","15.8%","$251,973","1.9%","57.7%","304,611"
"Greene, IL","68","3.8%","$115,704","-0.8%","-24.1%","11,837"
"Schuyler, MO","60","-13.0%","$144,336","6.5%","29.7%","4,044"
"Schuyler, IL","63","-44.2%","$157,031","-5.8%","-28.8%","6,826"
"Washington, OK","55","64.1%","$177,803","4.9%","-16.4%","52,895"
"Washington, MS","89","21.0%","$57,743","-19.5%","20.6%","43,674"
"Washington, AR","46","1.0%","$342,773","2.8%","38.5%","261,549"
"Washington, KS","141","-36.5%","$156,343","16.5%","-5.8%","5,519"
"Washington, MO","42","1.8%","$174,530","4.3%","5.9%","23,483"
"Tate, MS","57","1.7%","$237,953","0.7%","0.6%","28,135"
"Stoddard, MO","59","4.8%","$150,965","2.9%","-1.6%","28,547"
"Butler, KS","44","-1.1%","$242,616","5.0%","31.1%","68,632"
"Butler, MO","59","9.7%","$163,383","2.6%","-16.5%","42,166"
"Madison, IL","39","38.0%","$187,890","3.3%","-27.5%","262,752"
"Madison, MS","64","37.6%","$331,623","1.0%","6.4%","112,511"
"Madison, AR","63","-13.1%","$260,142","4.7%","40.6%","17,032"
"Madison, MO","70","115.5%","$168,117","3.3%","19.3%","12,665"
"Cross, AR","72","23.6%","$136,045","-2.9%","15.6%","16,681"
"Humphreys, MS","112","58.8%","$78,463","2.9%","-15.7%","7,570"
"Phillips, KS","80","-36.7%","$107,467","8.8%","-2.0%","4,874"
"Phillips, AR","100","66.6%","$52,438","-1.9%","82.2%","15,910"
"Warren, MO","38","-21.2%","$330,726","4.6%","29.0%","36,467"
"Warren, MS","78","38.0%","$150,110","0.5%","-12.5%","43,623"
"Shelby, TN","54","20.0%","$221,164","-0.2%","71.6%","910,042"
"Shelby, TX","107","18.8%","$245,377","0.7%","12.5%","24,108"
"Shelby, MO","99","22.2%","$175,083","9.3%","-42.0%","6,011"
"Miller, AR","65","1.9%","$165,693","-2.3%","27.1%","42,588"
"Miller, MO","47","12.5%","$269,108","5.0%","5.2%","25,081"
"Decatur, KS","36","-77.2%","$99,650","3.4%","15.7%","2,746"
"Decatur, IA","66","59.0%","$147,942","1.8%","-23.2%","7,669"
"DeKalb, MO","67","1.1%","$222,488","4.9%","27.4%","11,176"
"Clinton, MO","51","-15.7%","$278,546","5.9%","30.3%","21,259"
"Nodaway, MO","75","86.3%","$225,434","2.8%","-15.3%","20,959"
"Miami, KS","41","-25.6%","$367,931","5.0%","34.7%","34,625"
"Anderson, TX","67","0.3%","$205,715","-1.3%","56.5%","57,825"
"Anderson, KS","80","91.5%","$174,475","5.3%","-2.1%","7,819"
"Jackson, KS","47","108.8%","$235,114","5.5%","7.3%","13,277"
"Jackson, MO","45","0.0%","$243,624","1.5%","31.4%","718,560"
"Jackson, OK","63","69.1%","$107,711","2.5%","8.5%","24,730"
"Jackson, LA","52","-67.3%","$105,595","-0.6%","-6.1%","14,939"
"Jackson, AR","62","50.9%","$87,599","0.8%","5.7%","16,775"
"Cleburne, AR","63","-1.5%","$253,603","3.0%","11.0%","25,048"
"Pulaski, AR","49","18.7%","$204,384","0.9%","19.9%","400,009"
"Pulaski, MO","39","-21.4%","$221,652","3.1%","-13.3%","53,850"
"Van Buren, IA","79","102.5%","$157,873","6.7%","8.3%","7,236"
"Van Buren, AR","61","14.0%","$165,082","0.3%","40.2%","15,936"
"Saline, KS","52","62.5%","$175,242","2.1%","6.7%","53,801"
"Saline, MO","45","-5.2%","$174,667","2.2%","-20.8%","23,177"
"Saline, NE","34","43.1%","$214,398","7.0%","107.6%","14,642"
"Saline, AR","46","17.9%","$250,500","1.2%","44.3%","129,574"
"Cherokee, TX","61","-22.5%","$237,774","1.1%","66.9%","51,143"
"Cherokee, OK","61","-5.4%","$195,743","1.8%","-6.4%","47,621"
"Cherokee, KS","74","85.0%","$115,268","7.0%","16.3%","19,236"
"Ottawa, KS","87","123.0%","$164,999","7.6%","-3.7%","5,782"
"Ottawa, OK","58","46.8%","$132,128","5.7%","14.5%","30,360"
"Mayes, OK","57","5.0%","$210,010","1.1%","22.6%","39,406"
"Ashley, AR","71","11.4%","$80,582","-8.7%","-20.2%","18,722"
"Cleveland, OK","43","6.1%","$250,980","2.4%","32.2%","301,193"
"Cleveland, AR","117","121.8%","$152,426","-4.8%","8.3%","7,491"
"Lincoln, AR","64","-31.5%","$119,551","2.0%","138.2%","12,966"
"Lincoln, MO","32","15.3%","$295,689","3.4%","14.1%","61,636"
"Lincoln, KS","73","-40.8%","$118,179","5.0%","43.5%","2,924"
"Lincoln, OK","59","14.5%","$184,197","4.4%","54.1%","33,917"
"Lincoln, LA","48","-16.5%","$215,507","1.1%","2.2%","48,160"
"Fremont, IA","46","8.2%","$165,105","4.8%","61.6%","6,570"
"Coffey, KS","66","87.1%","$179,983","6.8%","9.4%","8,304"
"Chase, KS","53","-28.5%","$148,855","3.8%","-5.8%","2,579"
"Geary, KS","37","-16.3%","$200,278","9.7%","-15.8%","35,895"
"Marion, TX","71","4.4%","$144,626","3.1%","30.9%","9,631"
"Marion, AR","70","37.9%","$218,621","-0.0%","-2.8%","17,076"
